F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
     Unemployment compensation,"43,111,488",0.00,"293,843",0.00,"183,523",0.00,"485,137",0.00,"323,453",0.00,"6,222,524",0.00,"681,408",0.00,"816,878",0.00,"131,251",0.00,"166,387",0.00,"1,114,421",0.00,"799,864",0.00,"203,518",0.00,"158,151",0.00,"2,294,666",0.00,"900,898",0.00,"433,176",0.00,"350,403",0.00,"541,734",0.00,"241,953",0.00,"149,665",0.00,"665,379",0.00,"1,453,428",0.00,"1,415,220",0.00,"873,079",0.00,"162,074",0.00
     Employee retirement,"149,385,595",0.18,"4,309,441",0.05,"232,244",0.00,"3,210,018",0.01,"765,995",0.09,"24,986,261",0.13,"2,622,514",0.22,"1,258,513",3.16,"-20,790",-3.39,"-184,886",0.00,"4,089,167",2.39,"2,804,634",1.10,"294,658",0.00,"730,498",0.00,"5,369,597",0.83,"1,564,250",0.20,"1,907,637",0.00,"826,532",0.00,"941,535",0.10,"2,251,209",0.79,"341,457",0.00,"1,844,520",1.49,"3,652,153",1.55,"7,886,022",0.58,"2,056,043",0.08,"1,421,012",0.00
     Workers' compensation,"16,392,634",0.00,0,0.00,"5,153",0.00,0,0.00,"17,330",0.00,"2,398,281",0.00,"659,790",0.00,"39,907",0.00,"8,211",0.00,0,0.00,"136,021",0.00,0,0.00,0,0.00,"207,176",0.00,"9,337",0.00,"6,267",0.00,"10,680",0.00,0,0.00,"256,319",0.00,"65,578",0.00,"10,961",0.00,"353,595",0.00,"90,945",0.00,"15,304",0.00,"80,274",0.00,"5,799",0.00
     Other insurance trust revenue,"7,713,693",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"6,389,650",0.00,"2,405",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"94,454",0.00,0,0.00,0,0.00,149,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"158,616",0.00,0,0.00,"93,297",0.00,"310,024",0.00,0,0.00,0,0.00,0,0.00
           Expenditure1,"3,532,824,918",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,688",0.18,"550,055,846",0.19,"57,851,779",0.41,"41,772,915",0.47,"11,268,907",0.02,"16,593,661",0.00,"167,777,134",0.22,"82,044,149",0.27,"16,353,645",0.00,"12,475,868",0.25,"140,191,518",0.27,"57,689,862",0.26,"34,587,426",0.31,"28,812,393",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,082,479",0.17,"96,459,823",0.30,"65,181,889",0.24,"29,656,273",0.20
By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Intergovernmental expenditure1,"3,205,882",0.00,0,0.00,0,0.00,0,0.00,195,0.00,"2,811,529",0.00,"4,781",0.00,0,0.00,252,0.00,0,0.00,0,0.00,0,0.00,382,0.00,0,0.00,"4,254",0.00,"3,289",0.00,0,0.00,723,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"3,785",0.00,"8,025",0.00,145,0.00,0,0.00
     Direct expenditure,"3,529,619,036",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,493",0.18,"547,244,317",0.19,"57,846,998",0.41,"41,772,915",0.47,"11,268,655",0.02,"16,593,661",0.00,"167,777,134",0.22,"82,044,149",0.27,"16,353,263",0.00,"12,475,868",0.25,"140,187,264",0.27,"57,686,573",0.26,"34,587,426",0.31,"28,811,670",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,078,694",0.17,"96,451,798",0.30,"65,181,744",0.24,"29,656,273",0.20
          Current operations,"2,659,155,552",0.05,"36,142,068",0.40,"11,327,775",0.20,"43,471,734",0.19,"21,370,880",0.19,"406,868,044",0.23,"41,665,163",0.46,"29,249,578",0.24,"8,940,653",0.00,"12,578,563",0.00,"131,891,685",0.23,"62,217,463",0.26,"12,097,694",0.00,"9,881,779",0.18,"96,570,734",0.35,"45,598,745",0.31,"26,058,761",0.36,"22,000,183",0.41,"33,803,575",0.15,"34,433,514",0.08,"10,243,046",0.24,"52,149,803",0.05,"68,657,171",0.20,"75,616,891",0.32,"49,205,066",0.25,"23,598,320",0.23
          Capital outlay,"352,195,250",0.19,"4,182,091",0.84,"2,670,298",0.33,"5,058,420",0.76,"2,408,482",0.96,"47,072,922",1.06,"7,012,503",1.81,"4,556,485",0.31,"889,265",0.00,"2,778,170",0.00,"17,466,544",0.78,"8,893,295",1.18,"2,336,958",0.00,"1,108,590",2.34,"15,128,345",0.87,"5,710,772",0.59,"4,766,089",1.07,"3,685,379",0.73,"4,600,989",0.68,"5,377,389",0.38,"870,670",2.47,"5,673,227",0.08,"8,612,834",0.72,"6,566,735",2.23,"7,423,859",1.23,"2,530,858",1.00
               Construction,"283,864,020",0.22,"3,179,162",1.03,"2,143,752",0.41,"4,177,289",0.81,"1,897,884",0.81,"38,282,145",1.22,"5,722,775",2.04,"3,933,943",0.31,"717,256",0.00,"2,578,064",0.00,"13,613,518",0.84,"7,183,581",1.43,"1,454,107",0.00,"752,228",3.43,"12,689,925",0.91,"3,994,451",0.78,"4,080,449",1.21,"2,994,799",0.86,"3,687,754",0.75,"4,255,028",0.48,"724,012",2.92,"4,922,798",0.02,"6,833,660",0.71,"5,075,380",2.76,"5,709,039",0.85,"1,971,441",1.24
               Other capital outlay,"68,331,230",0.39,"1,002,929",1.30,"526,546",0.06,"881,131",2.17,"510,598",3.42,"8,790,777",2.04,"1,289,728",3.89,"622,542",1.17,"172,009",0.00,"200,106",0.00,"3,853,026",1.95,"1,709,714",1.19,"882,851",0.00,"356,362",0.75,"2,438,420",2.60,"1,716,321",0.77,"685,640",1.88,"690,580",1.16,"913,235",1.63,"1,122,361",0.27,"146,658",2.60,"750,429",0.61,"1,779,174",2.13,"1,491,355",2.83,"1,714,820",4.52,"559,417",1.11
          Assistance and subsidies,"59,569,748",0.05,"2,045,552",0.00,"155,125",0.00,"977,712",0.00,"472,317",0.00,"12,462,421",0.00,"909,753",0.00,"539,650",0.02,"334,206",0.00,"152,274",0.00,"1,803,537",0.00,"1,185,669",0.00,"180,969",0.00,"146,238",0.00,"1,313,201",0.00,"1,267,735",0.00,"586,553",0.05,"197,288",0.00,"1,083,914",0.00,"700,089",0.00,"169,418",0.06,"1,684,225",0.00,"984,640",0.00,"1,374,069",0.00,"1,284,315",0.80,"362,966",0.00
          Interest on debt,"121,378,400",0.12,"1,139,990",1.15,"323,131",0.07,"1,883,060",0.58,"532,570",1.70,"19,376,371",0.54,"2,350,353",1.26,"1,930,280",0.12,"322,673",0.00,"575,816",0.00,"5,188,840",0.81,"2,311,949",0.54,"352,449",0.00,"243,563",0.61,"7,290,764",0.37,"2,147,766",0.42,"651,488",2.05,"929,908",0.56,"1,536,900",0.36,"1,605,713",0.14,"285,425",0.51,"2,059,676",0.13,"3,304,076",0.14,"3,319,032",0.46,"1,777,624",0.53,"518,211",1.00
          Insurance benefits and repayments,"337,320,086",0.13,"3,776,172",0.11,"1,362,870",0.00,"4,711,062",0.02,"1,998,244",0.04,"61,464,559",0.17,"5,909,226",0.88,"5,496,922",3.29,"781,858",0.30,"508,838",0.00,"11,426,528",1.50,"7,435,773",1.52,"1,385,193",0.00,"1,095,698",0.00,"19,884,220",0.57,"2,961,555",0.17,"2,524,535",0.00,"1,998,912",0.00,"4,468,502",0.09,"4,649,734",0.26,"997,403",0.00,"5,878,770",2.78,"8,519,973",0.59,"9,575,071",0.66,"5,490,880",0.05,"2,645,918",0.00
          Exhibit: Salaries and wages,"927,895,885",0.05,"12,807,808",0.50,"3,483,980",0.08,"14,674,695",0.10,"7,094,722",0.43,"137,287,651",0.03,"16,458,212",0.13,"12,686,556",0.11,"2,716,842",0.02,"3,889,036",0.00,"43,695,182",0.09,"23,261,711",0.81,"4,315,520",0.00,"3,816,933",0.24,"38,204,670",0.09,"14,715,728",0.45,"9,908,622",0.10,"9,165,607",0.07,"10,801,248",0.57,"11,592,990",1.01,"3,269,192",1.17,"19,094,511",0.19,"21,553,284",0.61,"25,022,500",0.46,"16,853,955",0.40,"7,935,381",0.62
Direct expenditure by function,"3,529,619,036",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,493",0.18,"547,244,317",0.19,"57,846,998",0.41,"41,772,915",0.47,"11,268,655",0.02,"16,593,661",0.00,"167,777,134",0.22,"82,044,149",0.27,"16,353,263",0.00,"12,475,868",0.25,"140,187,264",0.27,"57,686,573",0.26,"34,587,426",0.31,"28,811,670",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,078,694",0.17,"96,451,798",0.30,"65,181,744",0.24,"29,656,273",0.20
     Direct general expenditure,"2,961,032,115",0.05,"40,186,385",0.21,"13,642,439",0.18,"45,852,942",0.18,"23,797,003",0.18,"444,896,618",0.21,"47,388,311",0.42,"34,774,492",0.20,"9,938,805",0.00,"12,770,520",0.00,"145,404,608",0.20,"68,699,529",0.23,"13,708,338",0.00,"11,009,253",0.28,"111,474,910",0.31,"51,842,044",0.24,"30,564,782",0.34,"25,207,874",0.37,"38,916,739",0.12,"40,616,437",0.07,"11,364,348",0.24,"58,596,919",0.05,"75,269,071",0.19,"82,625,733",0.33,"56,578,548",0.26,"25,829,560",0.17
          Capital outlay,"301,462,421",0.21,"3,804,695",0.74,"2,451,967",0.34,"3,713,249",0.97,"2,249,182",0.97,"36,437,201",1.30,"5,338,431",2.20,"4,238,229",0.31,"845,999",0.00,"1,413,165",0.00,"15,803,135",0.81,"7,962,274",1.27,"1,628,513",0.00,"1,042,444",2.47,"12,903,977",0.95,"5,078,054",0.56,"4,495,240",1.11,"3,355,362",0.78,"4,188,259",0.54,"5,054,643",0.36,"805,306",1.70,"4,924,544",0.10,"6,733,843",0.90,"5,840,799",2.08,"6,863,688",1.30,"2,388,138",0.95
          Other direct general expenditure,"2,659,569,694",0.05,"36,381,690",0.22,"11,190,472",0.20,"42,139,693",0.18,"21,547,821",0.18,"408,459,417",0.20,"42,049,880",0.39,"30,536,263",0.23,"9,092,806",0.00,"11,357,355",0.00,"129,601,473",0.20,"60,737,255",0.21,"12,079,825",0.00,"9,966,809",0.17,"98,570,933",0.32,"46,763,990",0.26,"26,069,542",0.35,"21,852,512",0.41,"34,728,480",0.11,"35,561,794",0.06,"10,559,042",0.23,"53,672,375",0.05,"68,535,228",0.19,"76,784,934",0.31,"49,714,860",0.23,"23,441,422",0.16
     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Education,"973,025,032",0.04,"13,602,047",0.07,"3,542,512",0.47,"14,539,617",0.00,"8,358,803",0.00,"124,674,645",0.12,"16,331,079",0.00,"13,638,621",0.42,"3,678,447",0.00,"2,765,772",0.00,"41,501,078",0.00,"26,726,085",0.00,"3,390,117",0.00,"3,356,579",0.00,"37,607,030",0.00,"17,490,235",0.00,"11,006,220",0.00,"9,390,613",0.00,"12,550,355",0.00,"12,306,565",0.00,"3,417,674",0.45,"20,040,652",0.00,"21,962,330",0.49,"29,997,117",0.00,"18,245,878",0.00,"8,273,038",0.00
                    Capital outlay,"92,857,183",0.12,"1,216,969",0.75,"624,691",1.27,"1,172,925",0.00,"768,108",0.00,"10,582,354",0.00,"1,834,350",0.00,"1,337,785",0.20,"246,322",0.00,"332,893",0.00,"2,669,820",0.00,"2,667,182",0.00,"364,978",0.00,"147,704",0.00,"2,651,056",0.00,"1,735,881",0.00,"1,473,257",0.00,"1,504,579",0.00,"1,262,166",0.00,"1,099,823",0.00,"158,452",0.19,"1,885,567",0.00,"1,793,505",2.96,"2,668,098",0.00,"2,132,983",0.00,"754,524",0.00
                 Higher education,"288,119,040",0.04,"4,881,370",0.00,"1,092,961",0.00,"5,964,228",0.00,"2,711,408",0.00,"39,921,915",0.00,"5,994,326",0.00,"3,367,320",0.00,"1,262,793",0.00,"158,943",0.00,"10,798,564",0.00,"5,721,378",0.00,"1,110,246",0.00,"1,107,259",0.00,"9,494,824",0.00,"6,434,544",0.00,"3,918,636",0.00,"3,459,328",0.00,"4,375,744",0.00,"3,524,192",0.00,"813,161",0.00,"6,349,697",0.00,"5,194,474",0.00,"11,719,911",0.00,"5,082,362",0.00,"3,171,647",0.00
                    Capital outlay,"34,024,163",0.04,"529,566",0.00,"361,482",0.00,"641,745",0.00,"249,927",0.00,"3,795,388",0.00,"952,329",0.00,"593,763",0.00,"137,974",0.00,"17,610",0.00,"677,741",0.00,"716,989",0.00,"122,875",0.00,"72,087",0.00,"631,106",0.00,"746,594",0.00,"582,771",0.00,"538,411",0.00,"524,047",0.00,"516,639",0.00,"62,825",0.00,"826,205",0.00,"741,707",0.00,"1,604,980",0.00,"416,628",0.00,"417,067",0.00
                 Elementary & secondary,"633,560,909",0.06,"7,700,623",0.13,"2,366,586",0.71,"7,840,634",0.00,"5,088,236",0.00,"78,527,510",0.19,"9,407,782",0.00,"9,435,739",0.60,"1,949,722",0.00,"2,606,829",0.00,"27,362,982",0.01,"18,916,855",0.00,"2,122,302",0.00,"2,046,687",0.00,"26,537,479",0.00,"9,967,447",0.00,"6,584,354",0.01,"5,648,205",0.00,"7,125,687",0.00,"7,929,634",0.00,"2,424,659",0.63,"12,842,425",0.00,"15,482,147",0.70,"16,951,162",0.00,"12,229,969",0.00,"4,581,223",0.00
                    Capital outlay,"58,371,498",0.19,"677,333",1.36,"262,098",3.04,"528,832",0.00,"518,181",0.00,"6,786,966",0.00,"880,207",0.00,"629,509",0.43,"104,579",0.00,"315,283",0.00,"1,985,361",0.00,"1,834,823",0.00,"242,036",0.00,"74,932",0.00,"2,015,647",0.00,"986,760",0.00,"889,597",0.00,"964,098",0.00,"736,079",0.00,"577,726",0.00,"95,316",0.32,"1,055,684",0.00,"1,038,747",5.12,"1,062,838",0.00,"1,709,930",0.00,"335,067",0.00
                 Other education,"51,345,083",0.00,"1,020,054",0.00,"82,965",0.00,"734,755",0.00,"559,159",0.00,"6,225,220",0.00,"928,971",0.00,"835,562",0.00,"465,932",0.00,0,0.00,"3,339,532",0.00,"2,087,852",0.00,"157,569",0.00,"202,633",0.00,"1,574,727",0.00,"1,088,244",0.00,"503,230",0.00,"283,080",0.00,"1,048,924",0.00,"852,739",0.00,"179,854",0.00,"848,530",0.00,"1,285,709",0.00,"1,326,044",0.00,"933,547",0.00,"520,168",0.00
               Libraries,"12,025,959",1.36,"95,107",3.54,"46,079",0.99,"171,791",1.75,"97,520",5.34,"1,460,759",5.71,"289,409",16.27,"174,148",0.81,"50,594",0.00,"75,218",0.00,"567,323",3.46,"216,742",2.68,"34,794",0.00,"58,931",10.20,"793,608",6.52,"402,890",7.54,"141,569",1.43,"123,565",3.40,"148,250",15.66,"198,279",0.15,"41,681",2.17,"185,732",0.00,"328,632",1.22,"382,716",7.21,"246,657",2.49,"47,193",11.84
     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Public welfare,"652,513,527",0.02,"8,404,388",0.16,"2,238,872",0.00,"12,937,972",0.00,"6,914,795",0.09,"113,426,356",0.00,"8,543,733",0.02,"3,853,992",0.02,"2,416,452",0.00,"3,785,463",0.00,"26,441,109",0.03,"11,777,936",0.28,"2,841,269",0.00,"2,440,566",0.00,"21,280,856",0.06,"12,767,122",0.08,"6,135,176",0.05,"4,006,358",0.12,"11,209,220",0.01,"8,963,138",0.00,"3,175,627",0.03,"12,190,746",0.00,"21,859,222",0.01,"16,927,188",0.30,"15,237,715",0.29,"6,180,453",0.12
                    Cash assistance payments,"25,693,784",0.11,"1,369,945",0.00,"121,747",0.00,"318,930",0.00,"8,837",0.00,"7,280,037",0.00,"142,465",0.01,"189,704",0.06,"42,014",0.00,"152,274",0.00,"230,473",0.00,"107,014",0.00,"44,287",0.00,"61,735",0.00,"156,269",0.00,"308,480",0.00,"228,157",0.13,"56,414",0.00,"180,983",0.00,"34,791",0.05,"56,654",0.18,"1,370,586",0.00,"490,317",0.00,"265,879",0.00,"638,683",1.61,"50,994",0.00
                    Vendor payments,"537,666,910",0.01,"6,329,671",0.00,"1,774,673",0.00,"9,889,763",0.00,"6,313,976",0.00,"91,158,004",0.00,"7,036,956",0.02,"2,515,660",0.00,"1,992,880",0.00,"2,913,937",0.00,"23,408,486",0.00,"10,393,181",0.00,"2,273,923",0.00,"2,060,265",0.00,"17,880,237",0.00,"11,299,968",0.00,"5,352,695",0.01,"3,383,313",0.00,"10,096,967",0.00,"8,187,252",0.00,"2,321,473",0.00,"9,657,344",0.00,"19,852,624",0.00,"13,607,843",0.00,"12,468,218",0.07,"5,740,482",0.00
                    Other public welfare,"89,152,833",0.17,"704,772",1.90,"342,452",0.02,"2,729,279",0.01,"591,982",1.11,"14,988,315",0.00,"1,364,312",0.05,"1,148,628",0.06,"381,558",0.00,"719,252",0.00,"2,802,150",0.33,"1,277,741",2.61,"523,059",0.00,"318,566",0.01,"3,244,350",0.38,"1,158,674",0.88,"554,324",0.59,"566,631",0.84,"931,270",0.09,"741,095",0.00,"797,500",0.10,"1,162,816",0.00,"1,516,281",0.08,"3,053,466",1.68,"2,130,814",1.97,"388,977",1.98
               Hospitals,"181,437,107",0.25,"5,956,802",0.48,"462,159",2.16,"1,011,959",0.05,"1,128,349",1.68,"26,923,916",0.89,"2,425,927",1.68,"1,392,930",0.00,"83,923",0.00,"269,888",0.00,"8,809,795",0.25,"4,758,505",1.12,"628,652",0.00,"706,634",0.17,"3,121,980",2.83,"5,273,855",1.78,"3,540,545",2.30,"2,926,761",2.54,"2,429,443",0.08,"2,795,362",0.08,"204,384",0.13,"585,049",0.00,"1,580,333",0.00,"4,628,045",2.06,"2,118,844",3.40,"3,899,751",0.55
                    Capital outlay,"9,074,497",0.51,"319,453",0.24,"61,959",0.02,"30,130",0.97,"25,630",14.64,"1,560,243",1.25,"138,984",13.52,"17,990",0.00,300,0.00,"23,417",0.00,"463,960",0.17,"218,085",0.57,"6,086",0.00,"67,349",0.00,"73,100",3.73,"380,127",1.58,"406,579",3.29,"131,864",2.40,"147,609",0.01,"182,512",0.01,"1,096",0.93,"14,089",0.00,"87,118",0.00,"46,110",2.34,"51,587",3.40,"163,806",3.75
               Health,"95,886,685",0.39,"823,787",3.05,"244,403",0.30,"868,144",0.44,"311,258",0.78,"20,956,413",1.00,"772,356",5.67,"961,129",0.13,"481,989",0.00,"455,573",0.00,"5,131,836",0.52,"2,246,563",1.50,"539,552",0.00,"258,356",0.10,"1,887,689",0.99,"782,672",0.84,"413,990",6.39,"420,759",2.95,"836,592",2.30,"673,081",0.15,"244,334",1.04,"1,742,042",0.01,"1,449,974",0.21,"4,372,475",3.75,"1,168,501",3.15,"367,609",0.43
               Employment security administration,"4,107,109",0.00,"94,880",0.00,"37,939",0.00,2,0.00,"89,321",0.00,"310,551",0.00,"57,653",0.00,"23,386",0.00,"17,066",0.00,"41,235",0.00,"304,175",0.00,"37,921",0.00,"6,460",0.00,"9,146",0.00,"50,947",0.00,"96,028",0.00,"50,979",0.00,"32,329",0.00,"133,876",0.00,"126,003",0.00,"55,880",0.00,"53,791",0.00,"216,627",0.00,"176,033",0.00,"47,134",0.00,"112,778",0.00
               Veterans' services,"1,380,622",0.00,"5,922",0.00,0,0.00,"14,501",0.00,"1,852",0.00,"8,318",0.00,"4,130",0.00,"30,905",0.00,0,0.00,0,0.00,"10,769",0.00,"8,444",0.00,0,0.00,0,0.00,"9,524",0.00,"6,503",0.00,"1,461",0.00,"11,071",0.00,"59,639",0.00,"6,046",0.00,243,0.00,"2,977",0.00,"83,230",0.00,0,0.00,"13,351",0.00,"3,670",0.00
     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Highways,"177,981,696",0.27,"2,414,997",1.37,"1,590,169",0.17,"2,445,191",1.23,"1,757,302",0.69,"17,139,733",2.08,"2,980,071",1.49,"2,572,009",0.30,"586,099",0.00,"354,822",0.00,"10,319,717",0.41,"4,134,770",1.12,"729,848",0.00,"841,937",3.06,"9,511,597",1.37,"2,707,124",0.85,"2,587,060",1.12,"1,990,100",2.03,"2,766,636",0.33,"2,393,945",0.39,"1,006,819",1.10,"3,389,979",0.25,"3,845,033",0.38,"3,833,532",2.61,"4,975,369",1.03,"1,670,797",1.00
                    Capital outlay,"99,262,383",0.39,"1,228,097",1.13,"890,633",0.08,"1,347,477",1.76,"923,103",0.44,"6,437,264",5.27,"1,327,711",2.55,"1,323,762",0.40,"339,461",0.00,"212,189",0.00,"7,076,918",0.49,"2,541,756",1.47,"329,995",0.00,"453,406",5.61,"6,442,493",0.84,"1,564,740",0.76,"1,436,314",1.79,"1,089,631",2.30,"1,797,007",0.29,"1,481,905",0.47,"399,350",1.88,"1,704,427",0.21,"1,969,437",0.63,"1,480,207",3.11,"3,017,664",1.15,"779,837",1.43
               Air transportation (airports),"24,009,201",0.31,"111,014",3.86,"296,850",0.04,"519,142",1.18,"105,224",4.83,"3,780,712",0.57,"765,390",0.40,"41,333",6.72,"7,369",0.00,0,0.00,"2,587,365",1.75,"624,335",0.31,"438,887",0.00,"61,916",0.96,"1,223,169",1.85,"223,461",1.85,"102,694",2.31,"125,120",0.54,"230,229",0.28,"266,136",0.11,"59,729",0.76,"351,916",0.00,"616,880",0.00,"530,339",1.79,"378,213",1.76,"95,837",9.25
               Parking facilities,"2,106,861",1.49,"17,695",0.00,"1,646",3.75,"9,292",1.82,"11,531",0.03,"524,103",5.57,"46,609",6.82,"48,247",0.01,"11,322",0.00,"28,970",0.00,"192,848",4.31,"9,490",0.57,"4,062",0.00,60,0.00,"70,042",2.48,"31,359",0.53,"21,864",0.41,"6,458",0.02,"23,049",0.01,"2,680",0.00,"4,693",1.20,"52,741",0.59,"17,806",3.16,"61,946",0.29,"63,067",0.04,"1,201",0.00
               Sea and inland port facilities,"6,042,024",0.95,"115,226",0.00,"170,528",1.86,0,0.00,"2,901",1.24,"1,471,559",1.31,0,0.00,"2,313",0.00,"58,203",0.00,0,0.00,"653,036",1.57,"329,784",0.00,"84,956",0.00,"1,776",66.15,"6,736",8.35,"12,121",0.62,7,10.49,0,0.00,"34,387",57.29,"340,560",0.00,"5,459",17.93,"145,138",0.00,"100,769",1.32,"7,182",49.11,"47,471",0.44,"55,886",4.35
     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Police protection,"109,116,058",0.39,"1,249,556",2.32,"368,170",0.64,"2,267,170",1.37,"680,398",1.69,"17,557,870",1.81,"1,829,355",2.22,"1,249,334",0.34,"354,420",0.00,"593,345",0.00,"7,869,704",1.77,"2,667,236",1.81,"457,839",0.00,"430,772",0.62,"5,200,415",2.04,"1,253,596",1.28,"778,945",1.12,"788,654",1.24,"761,990",1.00,"1,599,088",0.84,"289,950",1.68,"2,655,341",0.64,"2,515,455",0.73,"2,509,076",1.42,"1,908,285",0.83,"756,900",2.01
               Fire protection,"47,982,402",0.71,"480,366",2.47,"220,101",0.47,"1,119,648",4.65,"292,590",2.73,"8,016,111",2.55,"944,795",8.14,"579,636",1.04,"34,617",0.00,"275,695",0.00,"3,816,152",2.29,"1,157,817",7.59,"227,779",0.00,"173,385",3.47,"2,602,477",3.02,"877,689",3.54,"258,675",2.36,"353,714",0.86,"372,695",2.74,"727,365",0.56,"160,582",2.95,"1,150,979",0.08,"1,256,997",0.99,"927,144",2.17,"487,954",4.70,"287,080",3.66
               Correction,"77,884,697",0.26,"721,568",2.12,"339,537",0.12,"1,686,597",0.00,"504,403",1.15,"15,468,283",0.00,"1,309,595",0.00,"682,862",0.00,"310,914",0.00,"144,915",0.00,"4,447,036",0.00,"1,989,501",1.40,"217,115",0.00,"362,929",0.00,"1,883,918",0.33,"1,034,548",0.79,"443,716",1.30,"522,150",2.06,"903,547",1.38,"1,137,143",0.00,"257,526",0.00,"1,904,825",0.00,"914,586",0.00,"2,521,401",1.07,"987,019",1.36,"497,403",1.31
                    Capital outlay,"2,413,855",1.40,"28,675",3.97,"14,148",0.00,"22,178",0.00,"4,106",3.48,"865,857",0.00,"30,796",0.00,"4,065",0.00,"2,524",0.00,"4,745",0.00,"77,478",0.00,"69,205",3.94,847,0.00,"15,012",0.00,"24,143",2.19,"18,264",2.06,"10,652",4.41,"16,362",15.94,"17,342",4.55,"65,326",0.01,"7,118",0.00,"44,714",0.00,"32,366",0.00,"34,497",54.73,"16,071",23.06,"35,046",8.33
               Protective inspection and regulation,"14,362,972",0.64,"137,083",3.36,"39,161",0.21,"195,404",0.98,"97,288",0.45,"4,396,610",2.02,"123,350",1.84,"105,197",0.54,"69,680",0.00,"108,188",0.00,"745,407",2.45,"166,333",2.72,"58,929",0.00,"56,398",1.52,"289,818",1.59,"162,789",1.40,"98,215",0.91,"90,172",0.41,"100,354",0.28,"126,156",0.17,"47,777",1.03,"293,275",0.37,"288,082",0.90,"459,196",0.96,"186,140",1.83,"89,038",2.97
     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Natural resources,"30,613,791",0.52,"234,322",0.79,"427,450",0.20,"483,002",6.27,"377,990",6.94,"7,706,815",1.46,"502,985",1.79,"283,448",0.13,"87,797",0.14,"67,548",0.00,"3,109,422",2.19,"458,033",0.48,"163,803",0.00,"284,943",2.04,"661,180",1.57,"388,903",0.58,"414,876",1.25,"252,515",1.72,"431,316",2.14,"1,036,342",0.16,"143,998",0.52,"506,380",0.35,"286,173",0.23,"424,474",0.95,"840,674",1.76,"276,143",0.79
                    Capital outlay,"6,120,280",1.17,"36,400",0.13,"27,396",0.00,"84,403",5.70,"51,763",36.03,"2,119,777",2.05,"67,294",4.25,"82,231",0.06,"11,650",0.00,"6,763",0.00,"574,819",6.45,"109,811",0.20,"59,475",0.00,"21,535",12.15,"90,176",2.02,"45,610",1.98,"129,761",2.13,"14,189",3.01,"26,071",2.54,"525,357",0.32,"4,974",6.10,"45,973",1.90,"52,970",0.06,"56,990",3.83,"100,142",2.65,"29,284",0.74
               Parks and recreation,"41,939,028",0.93,"453,847",3.79,"117,226",1.43,"665,351",1.47,"270,665",2.43,"6,408,730",4.67,"1,224,071",5.89,"274,268",0.70,"85,848",0.00,"328,468",0.00,"2,996,531",2.88,"1,134,237",1.81,"319,381",0.00,"151,757",1.64,"2,668,250",7.17,"546,989",2.25,"327,939",2.31,"332,290",0.82,"349,776",1.18,"727,640",1.10,"95,162",2.45,"1,201,579",0.58,"505,789",0.70,"1,014,058",1.99,"1,115,509",0.95,"214,871",2.10
                    Capital outlay,"9,260,681",1.32,"67,518",15.84,"25,411",4.80,"40,213",8.54,"73,790",7.05,"1,374,070",6.03,"225,029",10.48,"45,104",1.42,"27,516",0.00,"139,752",0.00,"494,700",6.14,"435,154",2.87,"109,731",0.00,"22,700",3.24,"469,853",9.22,"111,090",9.70,"40,201",12.86,"53,142",0.38,"38,359",5.89,"160,673",3.35,"14,298",3.15,"92,699",2.07,"123,103",0.54,"304,417",5.55,"195,640",4.48,"21,917",10.26
