F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
     Unemployment compensation,"601,224",0.00,"121,980",0.00,"110,530",0.00,"569,950",0.00,"86,481",0.00,"2,755,868",0.00,"353,715",0.00,"3,352,482",0.00,"1,513,388",0.00,"123,158",0.00,"1,104,639",0.00,"247,287",0.00,"1,043,810",0.00,"3,149,211",0.00,"280,910",0.00,"421,217",0.00,"41,009",0.00,"346,881",0.00,"2,197,021",0.00,"259,320",0.00,"149,278",0.00,"620,561",0.00,"1,360,321",0.00,"198,359",0.00,"968,261",0.00,"72,594",0.00
     Employee retirement,"3,488,356",1.62,"558,670",0.00,"721,250",0.94,"2,285,516",0.00,"575,065",0.00,"1,325,534",0.00,"1,632,516",0.00,"11,456,109",0.00,"2,611,158",0.01,"292,146",0.00,"6,161,559",0.00,"785,666",1.98,"2,393,503",0.00,"6,841,939",3.06,"315,336",1.16,"1,687,606",0.00,"244,076",0.00,"2,227,251",0.85,"17,602,324",0.34,"800,790",0.00,"161,996",0.00,"5,038,416",0.28,"2,938,197",0.03,"409,110",0.54,"1,408,148",0.00,"263,124",0.00
     Workers' compensation,"106,155",0.00,"77,699",0.00,80,0.00,0,0.00,0,0.00,"268,100",0.00,"30,413",0.00,"3,128,820",0.00,0,0.00,"199,976",0.00,"2,141,791",0.00,0,0.00,"665,626",0.00,"218,898",0.00,"18,959",0.00,"80,804",0.00,"3,531",0.00,0,0.00,"1,322,024",0.00,"303,545",0.00,0,0.00,"2,894",0.00,"2,940,470",0.00,"125,840",0.00,"6,139",0.00,"373,942",0.00
     Other insurance trust revenue,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"478,468",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"186,630",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
           Expenditure1,"54,096,918",0.31,"9,931,269",0.16,"22,799,753",0.36,"24,326,916",0.57,"12,251,373",0.12,"109,938,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,102,865",0.25,"34,390,672",0.25,"51,888,207",0.19,"143,821,089",0.21,"12,529,527",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,899,053",0.33,"86,684,449",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,332,003",0.30
By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Intergovernmental expenditure1,"42,346",0.00,0,0.00,"43,415",0.00,"5,582",0.00,0,0.00,"13,000",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"52,645",0.00,"39,887",0.00,0,0.00,"127,805",0.00,"18,459",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,425,0.00,"4,483",0.00,0,0.00,0,0.00,"20,475",0.00
     Direct expenditure,"54,054,572",0.31,"9,931,269",0.16,"22,756,338",0.36,"24,321,334",0.57,"12,251,373",0.12,"109,925,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,050,220",0.25,"34,350,785",0.26,"51,888,207",0.19,"143,693,284",0.21,"12,511,068",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,898,628",0.33,"86,679,966",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,311,528",0.30
          Current operations,"41,625,466",0.28,"7,760,437",0.09,"17,623,863",0.41,"17,739,792",0.78,"9,941,676",0.14,"82,137,738",0.27,"19,847,348",0.05,"245,753,729",0.10,"72,274,106",0.32,"7,126,349",0.21,"92,400,191",0.34,"25,954,411",0.31,"40,300,815",0.22,"108,274,891",0.19,"9,518,993",0.07,"37,010,116",0.19,"5,778,211",0.19,"46,729,259",0.52,"183,964,035",0.17,"21,261,944",0.71,"6,669,763",0.21,"62,084,870",0.39,"63,233,593",0.31,"14,126,607",0.11,"46,626,125",0.22,"7,752,336",0.35
          Capital outlay,"4,717,714",1.11,"956,890",1.50,"3,262,050",1.01,"2,569,266",0.11,"869,963",0.39,"9,500,368",1.00,"2,060,082",0.25,"30,849,199",0.42,"8,180,041",0.61,"2,492,999",0.38,"10,649,736",0.60,"4,335,220",0.76,"4,250,717",0.93,"13,472,192",0.70,"738,070",0.19,"4,446,837",1.00,"1,290,278",1.19,"4,911,451",1.57,"33,185,144",0.48,"3,464,241",0.54,"581,192",0.59,"8,918,254",1.12,"11,154,330",1.03,"1,467,012",1.74,"4,873,529",1.50,"1,617,306",0.94
               Construction,"3,505,942",1.39,"795,539",1.71,"2,668,501",1.17,"2,049,766",0.14,"717,796",0.20,"7,717,365",1.20,"1,654,066",0.29,"25,887,639",0.45,"6,213,850",0.70,"2,175,037",0.40,"8,872,595",0.65,"3,308,239",0.77,"3,623,212",1.05,"11,105,547",0.82,"600,924",0.08,"3,399,085",1.27,"1,131,627",1.35,"3,714,829",2.00,"26,803,595",0.55,"2,540,463",0.70,"463,863",0.69,"7,397,419",1.25,"8,696,275",1.19,"1,201,535",2.08,"3,780,430",1.88,"1,264,441",1.06
               Other capital outlay,"1,211,772",1.56,"161,351",2.77,"593,549",1.82,"519,500",0.05,"152,167",2.03,"1,783,003",1.10,"406,016",0.40,"4,961,560",1.20,"1,966,191",1.31,"317,962",1.05,"1,777,141",1.50,"1,026,981",2.05,"627,505",1.86,"2,366,645",1.01,"137,146",0.97,"1,047,752",0.95,"158,651",0.63,"1,196,622",1.66,"6,381,549",0.91,"923,778",0.65,"117,329",1.06,"1,520,835",2.49,"2,458,055",1.99,"265,477",2.02,"1,093,099",1.68,"352,865",2.06
          Assistance and subsidies,"623,842",0.00,"83,046",0.00,"190,774",0.00,"421,478",0.00,"210,995",0.08,"1,764,580",0.00,"284,712",0.00,"4,646,045",0.36,"1,920,692",0.91,"115,826",0.00,"1,641,315",0.48,"573,461",0.00,"501,693",0.00,"2,595,829",0.00,"164,472",0.00,"1,204,098",0.00,"120,573",0.00,"1,214,668",0.01,"3,567,260",0.00,"847,047",0.00,"179,165",0.00,"1,331,113",0.46,"1,604,854",0.00,"615,620",0.00,"721,545",0.87,"51,209",0.00
          Interest on debt,"1,766,243",0.68,"185,325",0.43,"565,331",1.52,"1,012,212",0.04,"447,230",0.14,"3,375,651",0.57,"509,327",0.45,"16,730,520",0.17,"2,131,563",0.74,"189,197",1.48,"2,995,279",0.48,"730,679",1.18,"1,257,720",0.63,"4,477,528",0.50,"554,991",0.01,"1,326,892",0.27,"194,558",0.26,"1,504,163",0.75,"10,865,577",0.49,"665,361",0.56,"148,050",0.56,"2,538,377",0.62,"3,412,253",1.01,"431,968",0.64,"1,341,323",0.67,"63,454",1.53
          Insurance benefits and repayments,"5,321,307",2.06,"945,571",0.00,"1,114,320",1.02,"2,578,586",0.00,"781,509",0.00,"13,147,296",0.00,"2,309,049",0.00,"33,908,584",0.00,"5,969,025",0.01,"778,524",0.00,"17,363,699",0.00,"2,757,014",0.15,"5,577,262",0.00,"14,872,844",1.27,"1,534,542",0.76,"3,439,704",0.00,"584,729",0.00,"3,405,763",0.83,"20,019,553",0.19,"1,817,601",0.00,"400,842",0.00,"6,026,014",0.73,"7,274,936",0.07,"1,725,860",0.03,"5,890,313",0.00,"827,223",0.00
          Exhibit: Salaries and wages,"13,771,615",0.33,"2,774,680",0.17,"5,976,486",0.38,"6,809,344",0.13,"3,670,655",0.14,"33,546,103",0.54,"6,079,140",0.67,"82,772,091",0.19,"26,615,824",0.15,"2,500,230",0.23,"30,418,313",0.27,"9,229,251",0.20,"11,740,388",0.36,"32,261,746",0.34,"3,141,715",0.22,"12,054,314",1.05,"2,077,713",0.38,"14,668,739",0.46,"74,262,428",0.03,"7,464,345",0.92,"2,137,683",0.09,"23,507,619",0.28,"23,543,854",0.51,"4,458,178",1.44,"15,384,226",0.38,"2,722,673",0.21
Direct expenditure by function,"54,054,572",0.31,"9,931,269",0.16,"22,756,338",0.36,"24,321,334",0.57,"12,251,373",0.12,"109,925,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,050,220",0.25,"34,350,785",0.26,"51,888,207",0.19,"143,693,284",0.21,"12,511,068",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,898,628",0.33,"86,679,966",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,311,528",0.30
     Direct general expenditure,"45,935,551",0.26,"8,706,577",0.18,"17,154,285",0.42,"20,279,254",0.68,"10,791,559",0.13,"92,682,629",0.25,"21,892,572",0.05,"269,057,558",0.10,"78,824,462",0.29,"9,487,472",0.18,"103,095,495",0.30,"29,317,806",0.23,"43,542,458",0.21,"122,289,324",0.17,"10,618,468",0.06,"40,753,953",0.16,"6,991,451",0.26,"45,044,663",0.45,"214,444,070",0.15,"23,939,328",0.63,"7,231,548",0.17,"71,279,290",0.36,"70,326,941",0.30,"16,226,948",0.16,"51,083,613",0.24,"9,078,632",0.33
          Capital outlay,"4,415,176",1.14,"885,537",1.59,"2,465,035",1.13,"2,249,854",0.13,"834,577",0.41,"8,663,506",0.98,"1,884,765",0.23,"24,430,614",0.50,"7,071,792",0.55,"2,311,485",0.41,"9,945,786",0.62,"3,679,133",0.74,"3,621,723",0.99,"12,512,411",0.62,"639,914",0.22,"4,042,478",0.58,"1,217,628",1.26,"3,948,442",1.67,"29,120,471",0.46,"3,286,627",0.51,"539,117",0.61,"7,974,443",1.23,"8,539,321",1.06,"1,383,214",1.58,"4,744,460",1.54,"1,494,575",0.92
          Other direct general expenditure,"41,520,375",0.26,"7,821,040",0.09,"14,689,250",0.45,"18,029,400",0.77,"9,956,982",0.14,"84,019,123",0.26,"20,007,807",0.05,"244,626,944",0.09,"71,752,670",0.32,"7,175,987",0.20,"93,149,709",0.33,"25,638,673",0.25,"39,920,735",0.21,"109,776,913",0.18,"9,978,554",0.06,"36,711,475",0.17,"5,773,823",0.17,"41,096,221",0.47,"185,323,599",0.16,"20,652,701",0.72,"6,692,431",0.18,"63,304,847",0.38,"61,787,620",0.31,"14,843,734",0.09,"46,339,153",0.21,"7,584,057",0.36
     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Education,"15,082,413",0.00,"2,879,944",0.00,"7,198,248",0.00,"6,084,804",0.00,"4,130,584",0.20,"36,310,695",0.11,"6,670,568",0.00,"82,515,766",0.10,"25,802,652",0.71,"3,221,032",0.00,"34,099,872",0.33,"10,555,857",0.00,"13,379,582",0.00,"41,545,149",0.01,"3,339,874",0.00,"14,308,521",0.00,"2,454,389",0.00,"13,914,022",1.10,"83,343,071",0.02,"9,532,763",0.00,"2,751,920",0.00,"25,549,196",0.59,"23,368,058",0.17,"5,358,703",0.00,"18,085,655",0.03,"3,148,585",0.00
                    Capital outlay,"1,224,213",0.00,"225,440",0.00,"966,680",0.00,"315,276",0.00,"283,331",0.00,"3,107,672",0.19,"905,563",0.00,"6,556,933",0.22,"1,677,234",0.77,"579,730",0.00,"3,551,199",0.00,"1,157,110",0.00,"1,339,082",0.00,"3,088,127",0.00,"84,644",0.00,"1,506,730",0.00,"389,283",0.00,"1,017,359",1.66,"12,051,464",0.00,"1,327,408",0.00,"133,353",0.00,"2,664,379",3.61,"2,955,042",0.00,"380,970",0.00,"1,689,123",0.33,"593,866",0.00
                 Higher education,"3,903,267",0.00,"939,252",0.00,"2,431,684",0.00,"1,408,963",0.00,"985,188",0.00,"6,987,166",0.00,"2,576,501",0.00,"14,301,934",0.58,"9,688,518",0.65,"1,220,090",0.00,"9,598,486",0.00,"4,036,659",0.00,"5,008,260",0.00,"10,761,940",0.00,"682,812",0.00,"4,167,461",0.00,"881,094",0.00,"3,704,819",0.00,"27,908,606",0.00,"4,402,104",0.00,"871,891",0.00,"7,975,408",0.00,"7,098,190",0.00,"1,754,454",0.00,"6,294,886",0.00,"898,176",0.00
                    Capital outlay,"330,168",0.00,"45,859",0.00,"324,628",0.00,"90,128",0.00,"141,135",0.00,"1,190,653",0.00,"344,626",0.00,"1,899,516",0.76,"752,085",0.68,"166,796",0.00,"1,679,520",0.00,"511,146",0.00,"652,797",0.00,"1,229,861",0.00,"9,421",0.00,"435,845",0.00,"185,368",0.00,"424,644",0.00,"3,716,830",0.00,"618,294",0.00,"89,517",0.00,"1,035,766",0.00,"746,962",0.00,"191,427",0.00,"593,280",0.00,"139,435",0.00
                 Elementary & secondary,"10,312,449",0.00,"1,839,197",0.00,"4,530,479",0.00,"4,225,047",0.00,"2,924,046",0.28,"26,985,959",0.15,"3,658,275",0.00,"66,104,577",0.00,"14,210,159",1.22,"1,873,417",0.00,"23,163,728",0.48,"5,902,968",0.00,"7,145,409",0.00,"28,231,954",0.01,"2,414,756",0.00,"8,611,569",0.00,"1,431,042",0.00,"9,326,191",1.64,"53,079,745",0.03,"4,816,719",0.00,"1,608,485",0.00,"16,427,479",0.92,"14,874,831",0.26,"3,086,288",0.00,"11,084,196",0.05,"2,015,066",0.00
                    Capital outlay,"890,008",0.00,"179,414",0.00,"641,980",0.00,"224,528",0.00,"137,180",0.00,"1,915,927",0.31,"551,143",0.00,"4,657,222",0.00,"923,006",1.28,"412,048",0.00,"1,856,241",0.00,"641,999",0.00,"686,104",0.00,"1,807,319",0.00,"74,466",0.00,"1,065,529",0.00,"192,304",0.00,"560,147",3.02,"8,333,979",0.01,"709,114",0.00,"42,911",0.00,"1,627,756",5.90,"2,204,456",0.00,"181,392",0.00,"1,093,394",0.51,"454,302",0.00
                 Other education,"866,697",0.00,"101,495",0.00,"236,085",0.00,"450,794",0.00,"221,350",0.00,"2,337,570",0.00,"435,792",0.00,"2,109,255",0.00,"1,903,975",0.00,"127,525",0.00,"1,337,658",0.00,"616,230",0.00,"1,225,913",0.00,"2,551,255",0.00,"242,306",0.00,"1,529,491",0.00,"142,253",0.00,"883,012",0.00,"2,354,720",0.00,"313,940",0.00,"271,544",0.00,"1,146,309",0.00,"1,395,037",0.00,"517,961",0.00,"706,573",0.00,"235,343",0.00
               Libraries,"267,644",8.53,"28,594",0.95,"71,414",3.05,"101,527",2.05,"54,162",2.00,"424,933",3.13,"42,465",0.76,"1,016,813",4.60,"265,719",2.81,"18,310",0.25,"500,347",18.12,"137,476",5.57,"225,469",2.37,"219,889",2.22,"39,469",0.00,"155,183",0.10,"31,630",2.74,"136,804",2.50,"581,615",1.97,"104,657",1.00,"21,707",2.12,"329,073",4.17,"472,803",3.12,"55,613",9.94,"311,060",2.01,"32,396",0.03
     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Public welfare,"9,158,537",0.15,"1,770,617",0.00,"2,552,348",0.59,"3,569,076",0.00,"2,259,221",0.01,"16,796,402",0.01,"6,277,708",0.00,"65,094,779",0.10,"14,279,156",0.21,"1,532,130",0.00,"28,413,857",0.26,"6,660,627",0.00,"10,263,844",0.01,"30,143,713",0.00,"2,979,209",0.00,"7,581,562",0.00,"1,120,559",0.12,"11,690,007",0.14,"37,620,343",0.12,"3,766,068",0.01,"1,879,062",0.01,"11,519,079",0.33,"11,778,473",0.01,"4,747,353",0.00,"12,250,660",0.45,"853,413",0.05
                    Cash assistance payments,"104,988",0.00,0,0.00,"29,102",0.01,"48,664",0.00,"52,990",0.32,"652,781",0.00,"56,879",0.00,"2,632,790",0.64,"708,731",2.46,"64,107",0.00,"516,508",1.54,"146,794",0.00,"271,414",0.00,"1,524,987",0.00,"25,916",0.00,"194,447",0.00,"78,669",0.00,"552,278",0.03,"1,903,860",0.00,"588,044",0.00,"52,051",0.00,"440,198",1.38,"496,925",0.00,"365,926",0.00,"277,056",2.26,10,0.00
                    Vendor payments,"8,366,727",0.00,"1,605,391",0.00,"1,768,016",0.00,"2,878,130",0.00,"1,716,660",0.01,"11,733,785",0.00,"5,846,170",0.00,"53,130,700",0.05,"12,041,705",0.00,"1,192,603",0.00,"24,574,169",0.01,"5,468,656",0.00,"6,505,022",0.00,"23,680,311",0.00,"2,642,032",0.00,"6,655,952",0.00,"789,238",0.00,"10,094,059",0.00,"32,612,239",0.03,"2,756,794",0.00,"1,178,831",0.00,"9,088,570",0.03,"9,850,907",0.00,"3,816,899",0.00,"9,120,221",0.00,"643,332",0.00
                    Other public welfare,"686,822",1.98,"165,226",0.00,"755,230",1.98,"642,282",0.00,"489,571",0.04,"4,409,836",0.03,"374,659",0.00,"9,331,289",0.62,"1,528,720",1.60,"275,420",0.00,"3,323,180",2.24,"1,045,177",0.03,"3,487,408",0.02,"4,938,415",0.00,"311,261",0.00,"731,163",0.01,"252,652",0.54,"1,043,670",1.52,"3,104,244",1.38,"421,230",0.11,"648,180",0.03,"1,990,311",1.87,"1,430,641",0.06,"564,528",0.03,"2,853,383",1.90,"210,071",0.19
               Hospitals,"3,899,470",1.03,"153,721",0.71,"880,230",5.70,"919,561",0.00,"54,859",0.05,"2,341,904",0.00,"1,488,837",0.09,"16,600,961",0.51,"10,210,785",0.98,"48,053",0.03,"4,459,667",2.63,"1,129,593",0.96,"2,577,078",1.98,"4,313,581",0.01,"61,822",0.00,"6,553,299",0.40,"101,037",0.26,"3,571,353",2.45,"17,819,866",0.72,"1,919,767",7.48,"22,210",0.04,"5,087,316",0.01,"5,690,289",1.66,"480,753",0.03,"2,184,107",1.59,"1,203,197",0.79
                    Capital outlay,"272,869",0.17,"4,194",0.00,"70,763",14.89,"35,569",0.00,"2,823",0.00,"4,841",0.00,"38,481",0.30,"829,438",0.00,"629,333",0.81,52,0.00,"221,237",1.78,"42,872",1.63,"213,991",1.31,"164,486",0.05,"3,761",0.00,"231,048",2.45,"6,218",0.00,"199,833",1.88,"759,730",3.73,"96,908",0.00,47,0.00,"183,069",0.00,"266,212",4.15,"8,549",0.00,"95,282",0.00,"73,708",0.09
               Health,"2,170,145",3.03,"357,401",0.05,"314,539",0.27,"384,049",0.02,"143,439",0.54,"3,232,920",0.19,"720,686",0.18,"6,759,418",1.40,"4,999,354",0.43,"183,127",1.50,"3,494,282",4.76,"1,088,081",0.88,"1,588,717",0.08,"5,334,444",0.08,"235,309",0.00,"1,258,021",0.00,"177,857",0.92,"965,111",1.90,"5,316,386",1.80,"570,880",0.52,"364,975",0.15,"2,218,933",3.32,"3,385,356",0.92,"283,544",0.52,"1,504,204",2.58,"424,430",0.70
               Employment security administration,"43,844",0.00,"46,792",0.00,"43,720",0.00,"62,453",0.00,"29,351",0.00,"192,922",0.00,"10,441",0.00,"195,815",0.00,"62,075",0.00,"17,368",0.00,"125,885",0.00,"85,288",0.00,"54,756",0.00,"102,457",0.00,"39,583",0.00,"65,264",0.00,"22,896",0.00,"68,027",0.00,"194,989",0.00,"11,827",0.00,"2,316",0.00,"84,311",0.00,"189,939",0.00,"20,147",0.00,"136,196",0.00,"16,307",0.00
               Veterans' services,"4,477",0.00,"2,168",0.00,"1,184",0.00,83,0.00,"1,039",0.00,"16,011",0.00,"4,155",0.00,"11,048",0.00,"6,517",0.00,"4,879",0.00,"30,268",0.00,"16,847",0.00,"9,961",0.00,"6,146",0.00,0,0.00,0,0.00,"1,415",0.00,"5,793",0.00,"886,468",0.00,"3,376",0.00,"2,376",0.00,"17,482",0.00,"36,738",0.00,"11,031",0.00,"18,589",0.00,15,0.00
     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Highways,"2,348,262",1.42,"867,933",0.33,"1,586,184",1.60,"1,730,335",0.10,"716,554",0.68,"4,874,771",0.97,"976,842",0.19,"11,710,010",0.67,"4,333,209",0.50,"1,800,565",0.38,"5,949,614",0.88,"2,594,757",0.59,"2,092,679",0.83,"10,562,496",1.41,"451,746",0.00,"1,844,509",0.60,"1,047,562",1.57,"2,228,108",0.81,"13,880,637",0.67,"1,557,027",0.59,"601,425",1.50,"5,580,220",0.24,"4,228,359",1.22,"1,278,978",0.17,"3,796,340",1.89,"797,918",0.18
                    Capital outlay,"1,088,718",2.01,"357,230",0.72,"817,724",2.61,"1,009,347",0.01,"280,832",0.51,"3,186,148",1.29,"525,170",0.26,"6,941,717",0.93,"2,793,466",0.46,"1,157,709",0.14,"3,503,403",0.84,"1,661,977",0.74,"913,858",1.71,"6,754,327",0.47,"248,424",0.00,"1,028,491",0.96,"612,543",2.48,"1,190,657",1.04,"8,787,876",0.75,"818,765",0.96,"254,775",1.25,"2,862,801",0.15,"2,292,688",2.11,"637,111",0.03,"1,504,763",4.22,"437,079",0.19
               Air transportation (airports),"317,802",1.18,"57,567",0.81,"109,869",8.56,"367,202",0.00,"51,444",0.06,"24,500",6.02,"86,458",0.12,"2,586,614",0.34,"437,645",1.09,"64,762",3.17,"352,674",4.47,"189,137",4.79,"314,530",1.32,"603,051",3.22,"58,947",0.00,"222,843",2.20,"44,712",1.81,"398,664",3.80,"2,145,429",0.91,"273,035",0.44,"42,949",0.00,"678,437",2.32,"577,310",1.62,"48,688",4.50,"293,641",0.93,"118,031",9.41
               Parking facilities,"24,996",0.40,"5,767",0.00,"8,479",0.00,"7,632",0.00,"10,765",0.00,"81,335",4.92,"8,333",0.00,"91,951",1.19,"30,850",1.12,"4,433",0.44,"63,381",1.47,"11,754",0.75,"18,335",3.94,"224,408",2.38,"1,461",0.00,"34,013",0.67,"4,137",0.00,"10,587",0.62,"30,923",0.11,106,0.00,"8,393",0.04,"68,237",0.89,"21,132",0.40,"8,688",0.22,"63,004",1.39,980,0.00
               Sea and inland port facilities,"3,398",5.07,"1,247",78.45,0,0.00,0,0.00,47,0.00,"43,917",0.46,0,0.00,"288,787",0.03,"39,130",0.36,0,0.00,"34,242",15.64,"14,703",0.88,"116,829",1.28,"78,362",2.70,"3,492",0.00,"288,293",0.04,0,0.00,"2,541",7.90,"515,264",0.42,0,0.00,0,0.00,"451,862",0.02,"492,416",9.91,"9,388",0.00,"12,108",2.23,0,0.00
     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Police protection,"1,799,536",1.36,"294,354",0.44,"493,201",0.92,"1,180,808",0.00,"393,792",0.99,"3,518,642",2.26,"687,256",0.34,"9,923,400",0.52,"3,058,607",1.34,"195,776",0.30,"3,659,235",1.47,"1,026,168",3.14,"1,315,523",1.19,"3,743,124",1.41,"439,212",0.00,"1,237,484",1.15,"201,266",0.36,"1,810,523",1.33,"7,693,560",1.53,"665,185",1.40,"208,207",1.98,"2,368,355",1.08,"2,094,309",2.45,"387,736",0.79,"1,894,438",1.33,"233,497",0.54
               Fire protection,"852,232",5.15,"98,713",4.27,"230,969",2.48,"554,585",0.18,"233,609",1.08,"996,016",4.63,"307,856",0.54,"3,813,427",2.75,"1,050,461",2.61,"59,250",5.70,"1,986,882",2.87,"526,960",4.92,"738,659",4.60,"806,968",2.92,"333,804",1.23,"539,464",2.66,"66,569",1.02,"699,214",2.50,"3,200,376",2.63,"286,562",4.45,"56,157",3.58,"1,263,557",1.23,"1,553,475",6.78,"116,113",2.05,"713,330",2.38,"95,151",10.22
               Correction,"911,452",0.70,"257,400",0.00,"499,374",0.93,"702,020",0.00,"198,457",0.00,"2,133,679",0.00,"784,713",0.01,"6,361,562",0.26,"1,892,121",0.50,"173,969",0.00,"1,930,150",0.53,"726,031",0.01,"1,217,389",0.00,"3,550,608",0.00,"230,043",0.00,"705,331",0.00,"182,555",0.00,"1,138,801",0.72,"5,943,876",1.07,"541,203",0.00,"146,791",0.00,"2,686,591",6.83,"1,728,290",0.26,"352,991",0.00,"1,479,715",1.58,"216,548",0.04
                    Capital outlay,"16,307",2.45,"7,979",0.00,"8,558",37.95,"19,059",0.00,"5,650",0.00,"33,786",0.00,"2,384",0.13,"181,052",0.17,"44,468",4.08,"25,218",0.00,"87,927",0.17,"8,608",0.06,"15,169",0.00,"36,070",0.00,"3,171",0.00,"9,548",0.00,"1,386",0.00,"29,153",9.14,"189,947",9.88,"45,630",0.00,"1,352",0.00,"42,589",12.38,"80,723",0.03,"7,739",0.00,"47,653",38.85,"1,192",0.00
               Protective inspection and regulation,"99,917",1.60,"37,393",0.41,"69,966",0.97,"168,378",0.00,"66,620",0.32,"422,195",1.17,"107,291",0.05,"911,823",0.46,"347,996",0.88,"36,215",0.04,"288,328",0.87,"136,290",0.27,"357,361",0.61,"373,778",1.51,"27,489",0.00,"130,309",0.79,"31,549",0.11,"142,418",1.20,"826,240",1.15,"76,172",1.04,"38,346",0.05,"298,831",0.57,"508,084",0.61,"68,847",0.14,"221,879",0.82,"39,217",0.23
     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Natural resources,"415,323",2.56,"261,187",1.52,"278,504",3.72,"256,238",1.49,"65,256",2.02,"478,343",0.48,"293,593",2.96,"589,726",2.17,"593,780",1.45,"221,723",1.25,"422,443",2.18,"165,800",0.84,"672,038",1.91,"767,112",0.71,"75,298",0.09,"237,955",0.14,"167,664",2.02,"388,788",0.35,"1,459,580",3.13,"265,706",1.95,"106,995",0.49,"266,994",1.53,"1,255,189",3.99,"218,894",0.10,"651,445",3.29,"187,685",2.48
                    Capital outlay,"44,969",5.16,"16,014",4.15,"40,999",9.00,"107,160",0.17,"8,409",0.09,"62,402",0.95,"30,359",9.01,"69,623",1.98,"84,545",4.18,"28,052",1.08,"56,969",3.56,"21,144",1.53,"45,548",4.37,"108,307",1.36,"13,119",0.00,"41,739",0.23,"12,185",5.45,"54,949",1.42,"464,887",6.66,"27,329",2.88,"5,112",0.26,"9,102",5.90,"265,469",7.26,"39,239",0.25,"72,526",10.15,"15,310",15.31
               Parks and recreation,"736,017",2.80,"93,252",0.71,"239,835",2.42,"597,725",0.12,"96,237",1.10,"804,411",2.82,"318,972",0.33,"2,954,433",0.95,"1,089,360",1.36,"241,943",4.83,"1,320,412",2.85,"473,309",2.97,"666,900",2.23,"1,000,972",2.22,"82,548",0.14,"587,475",4.77,"160,351",0.47,"600,402",4.47,"2,504,913",2.15,"480,530",3.51,"64,534",0.88,"1,086,105",1.22,"1,176,298",2.31,"189,454",1.98,"698,508",1.65,"143,900",5.28
                    Capital outlay,"139,006",2.08,"19,655",0.33,"61,171",7.58,"95,548",0.00,"7,347",0.46,"244,571",7.81,"54,650",0.23,"989,216",1.92,"310,032",2.79,"67,447",11.83,"279,088",7.65,"160,161",6.19,"105,812",5.67,"237,027",5.64,"5,728",0.00,"101,288",15.86,"36,409",0.53,"116,536",11.92,"660,703",4.92,"98,629",12.77,"11,612",0.25,"203,138",4.22,"320,808",6.46,"24,390",0.00,"169,098",5.22,"35,531",12.48
               Housing and community development,"639,818",1.70,"82,406",2.20,"213,869",13.04,"292,590",47.35,"212,809",0.20,"1,453,431",1.58,"144,973",1.25,"5,698,573",0.13,"1,460,059",1.70,"80,039",9.04,"2,026,506",3.32,"499,108",3.82,"657,559",6.47,"1,896,196",2.04,"293,345",1.66,"496,197",8.28,"99,798",4.82,"804,372",7.03,"1,940,315",3.45,"342,531",0.86,"158,558",0.92,"1,035,315",0.78,"1,354,714",2.96,"138,808",4.64,"310,850",3.06,"15,151",0.89
