,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
62,          Current operations,"2,659,155,552",0.05,"36,142,068",0.4,"11,327,775",0.2,"43,471,734",0.19,"21,370,880",0.19,"406,868,044",0.23,"41,665,163",0.46,"29,249,578",0.24,"8,940,653",0,"12,578,563",0,"131,891,685",0.23,"62,217,463",0.26,"12,097,694",0,"9,881,779",0.18,"96,570,734",0.35,"45,598,745",0.31,"26,058,761",0.36,"22,000,183",0.41,"33,803,575",0.15,"34,433,514",0.08,"10,243,046",0.24,"52,149,803",0.05,"68,657,171",0.2,"75,616,891",0.32,"49,205,066",0.25,"23,598,320",0.23,"41,625,466",0.28,"7,760,437",0.09,"17,623,863",0.41,"17,739,792",0.78,"9,941,676",0.14,"82,137,738",0.27,"19,847,348",0.05,"245,753,729",0.1,"72,274,106",0.32,"7,126,349",0.21,"92,400,191",0.34,"25,954,411",0.31,"40,300,815",0.22,"108,274,891",0.19,"9,518,993",0.07,"37,010,116",0.19,"5,778,211",0.19,"46,729,259",0.52,"183,964,035",0.17,"21,261,944",0.71,"6,669,763",0.21,"62,084,870",0.39,"63,233,593",0.31,"14,126,607",0.11,"46,626,125",0.22,"7,752,336",0.35
63,          Capital outlay,"352,195,250",0.19,"4,182,091",0.84,"2,670,298",0.33,"5,058,420",0.76,"2,408,482",0.96,"47,072,922",1.06,"7,012,503",1.81,"4,556,485",0.31,"889,265",0,"2,778,170",0,"17,466,544",0.78,"8,893,295",1.18,"2,336,958",0,"1,108,590",2.34,"15,128,345",0.87,"5,710,772",0.59,"4,766,089",1.07,"3,685,379",0.73,"4,600,989",0.68,"5,377,389",0.38,"870,670",2.47,"5,673,227",0.08,"8,612,834",0.72,"6,566,735",2.23,"7,423,859",1.23,"2,530,858",1,"4,717,714",1.11,"956,890",1.5,"3,262,050",1.01,"2,569,266",0.11,"869,963",0.39,"9,500,368",1,"2,060,082",0.25,"30,849,199",0.42,"8,180,041",0.61,"2,492,999",0.38,"10,649,736",0.6,"4,335,220",0.76,"4,250,717",0.93,"13,472,192",0.7,"738,070",0.19,"4,446,837",1,"1,290,278",1.19,"4,911,451",1.57,"33,185,144",0.48,"3,464,241",0.54,"581,192",0.59,"8,918,254",1.12,"11,154,330",1.03,"1,467,012",1.74,"4,873,529",1.5,"1,617,306",0.94
64,               Construction,"283,864,020",0.22,"3,179,162",1.03,"2,143,752",0.41,"4,177,289",0.81,"1,897,884",0.81,"38,282,145",1.22,"5,722,775",2.04,"3,933,943",0.31,"717,256",0,"2,578,064",0,"13,613,518",0.84,"7,183,581",1.43,"1,454,107",0,"752,228",3.43,"12,689,925",0.91,"3,994,451",0.78,"4,080,449",1.21,"2,994,799",0.86,"3,687,754",0.75,"4,255,028",0.48,"724,012",2.92,"4,922,798",0.02,"6,833,660",0.71,"5,075,380",2.76,"5,709,039",0.85,"1,971,441",1.24,"3,505,942",1.39,"795,539",1.71,"2,668,501",1.17,"2,049,766",0.14,"717,796",0.2,"7,717,365",1.2,"1,654,066",0.29,"25,887,639",0.45,"6,213,850",0.7,"2,175,037",0.4,"8,872,595",0.65,"3,308,239",0.77,"3,623,212",1.05,"11,105,547",0.82,"600,924",0.08,"3,399,085",1.27,"1,131,627",1.35,"3,714,829",2,"26,803,595",0.55,"2,540,463",0.7,"463,863",0.69,"7,397,419",1.25,"8,696,275",1.19,"1,201,535",2.08,"3,780,430",1.88,"1,264,441",1.06
65,               Other capital outlay,"68,331,230",0.39,"1,002,929",1.3,"526,546",0.06,"881,131",2.17,"510,598",3.42,"8,790,777",2.04,"1,289,728",3.89,"622,542",1.17,"172,009",0,"200,106",0,"3,853,026",1.95,"1,709,714",1.19,"882,851",0,"356,362",0.75,"2,438,420",2.6,"1,716,321",0.77,"685,640",1.88,"690,580",1.16,"913,235",1.63,"1,122,361",0.27,"146,658",2.6,"750,429",0.61,"1,779,174",2.13,"1,491,355",2.83,"1,714,820",4.52,"559,417",1.11,"1,211,772",1.56,"161,351",2.77,"593,549",1.82,"519,500",0.05,"152,167",2.03,"1,783,003",1.1,"406,016",0.4,"4,961,560",1.2,"1,966,191",1.31,"317,962",1.05,"1,777,141",1.5,"1,026,981",2.05,"627,505",1.86,"2,366,645",1.01,"137,146",0.97,"1,047,752",0.95,"158,651",0.63,"1,196,622",1.66,"6,381,549",0.91,"923,778",0.65,"117,329",1.06,"1,520,835",2.49,"2,458,055",1.99,"265,477",2.02,"1,093,099",1.68,"352,865",2.06
66,          Assistance and subsidies,"59,569,748",0.05,"2,045,552",0,"155,125",0,"977,712",0,"472,317",0,"12,462,421",0,"909,753",0,"539,650",0.02,"334,206",0,"152,274",0,"1,803,537",0,"1,185,669",0,"180,969",0,"146,238",0,"1,313,201",0,"1,267,735",0,"586,553",0.05,"197,288",0,"1,083,914",0,"700,089",0,"169,418",0.06,"1,684,225",0,"984,640",0,"1,374,069",0,"1,284,315",0.8,"362,966",0,"623,842",0,"83,046",0,"190,774",0,"421,478",0,"210,995",0.08,"1,764,580",0,"284,712",0,"4,646,045",0.36,"1,920,692",0.91,"115,826",0,"1,641,315",0.48,"573,461",0,"501,693",0,"2,595,829",0,"164,472",0,"1,204,098",0,"120,573",0,"1,214,668",0.01,"3,567,260",0,"847,047",0,"179,165",0,"1,331,113",0.46,"1,604,854",0,"615,620",0,"721,545",0.87,"51,209",0
67,          Interest on debt,"121,378,400",0.12,"1,139,990",1.15,"323,131",0.07,"1,883,060",0.58,"532,570",1.7,"19,376,371",0.54,"2,350,353",1.26,"1,930,280",0.12,"322,673",0,"575,816",0,"5,188,840",0.81,"2,311,949",0.54,"352,449",0,"243,563",0.61,"7,290,764",0.37,"2,147,766",0.42,"651,488",2.05,"929,908",0.56,"1,536,900",0.36,"1,605,713",0.14,"285,425",0.51,"2,059,676",0.13,"3,304,076",0.14,"3,319,032",0.46,"1,777,624",0.53,"518,211",1,"1,766,243",0.68,"185,325",0.43,"565,331",1.52,"1,012,212",0.04,"447,230",0.14,"3,375,651",0.57,"509,327",0.45,"16,730,520",0.17,"2,131,563",0.74,"189,197",1.48,"2,995,279",0.48,"730,679",1.18,"1,257,720",0.63,"4,477,528",0.5,"554,991",0.01,"1,326,892",0.27,"194,558",0.26,"1,504,163",0.75,"10,865,577",0.49,"665,361",0.56,"148,050",0.56,"2,538,377",0.62,"3,412,253",1.01,"431,968",0.64,"1,341,323",0.67,"63,454",1.53
68,          Insurance benefits and repayments,"337,320,086",0.13,"3,776,172",0.11,"1,362,870",0,"4,711,062",0.02,"1,998,244",0.04,"61,464,559",0.17,"5,909,226",0.88,"5,496,922",3.29,"781,858",0.3,"508,838",0,"11,426,528",1.5,"7,435,773",1.52,"1,385,193",0,"1,095,698",0,"19,884,220",0.57,"2,961,555",0.17,"2,524,535",0,"1,998,912",0,"4,468,502",0.09,"4,649,734",0.26,"997,403",0,"5,878,770",2.78,"8,519,973",0.59,"9,575,071",0.66,"5,490,880",0.05,"2,645,918",0,"5,321,307",2.06,"945,571",0,"1,114,320",1.02,"2,578,586",0,"781,509",0,"13,147,296",0,"2,309,049",0,"33,908,584",0,"5,969,025",0.01,"778,524",0,"17,363,699",0,"2,757,014",0.15,"5,577,262",0,"14,872,844",1.27,"1,534,542",0.76,"3,439,704",0,"584,729",0,"3,405,763",0.83,"20,019,553",0.19,"1,817,601",0,"400,842",0,"6,026,014",0.73,"7,274,936",0.07,"1,725,860",0.03,"5,890,313",0,"827,223",0
69,          Exhibit: Salaries and wages,"927,895,885",0.05,"12,807,808",0.5,"3,483,980",0.08,"14,674,695",0.1,"7,094,722",0.43,"137,287,651",0.03,"16,458,212",0.13,"12,686,556",0.11,"2,716,842",0.02,"3,889,036",0,"43,695,182",0.09,"23,261,711",0.81,"4,315,520",0,"3,816,933",0.24,"38,204,670",0.09,"14,715,728",0.45,"9,908,622",0.1,"9,165,607",0.07,"10,801,248",0.57,"11,592,990",1.01,"3,269,192",1.17,"19,094,511",0.19,"21,553,284",0.61,"25,022,500",0.46,"16,853,955",0.4,"7,935,381",0.62,"13,771,615",0.33,"2,774,680",0.17,"5,976,486",0.38,"6,809,344",0.13,"3,670,655",0.14,"33,546,103",0.54,"6,079,140",0.67,"82,772,091",0.19,"26,615,824",0.15,"2,500,230",0.23,"30,418,313",0.27,"9,229,251",0.2,"11,740,388",0.36,"32,261,746",0.34,"3,141,715",0.22,"12,054,314",1.05,"2,077,713",0.38,"14,668,739",0.46,"74,262,428",0.03,"7,464,345",0.92,"2,137,683",0.09,"23,507,619",0.28,"23,543,854",0.51,"4,458,178",1.44,"15,384,226",0.38,"2,722,673",0.21
70,Direct expenditure by function,"3,529,619,036",0.05,"47,285,873",0.31,"15,839,199",0.15,"56,101,988",0.16,"26,782,493",0.18,"547,244,317",0.19,"57,846,998",0.41,"41,772,915",0.47,"11,268,655",0.02,"16,593,661",0,"167,777,134",0.22,"82,044,149",0.27,"16,353,263",0,"12,475,868",0.25,"140,187,264",0.27,"57,686,573",0.26,"34,587,426",0.31,"28,811,670",0.33,"45,493,880",0.13,"46,766,439",0.08,"12,565,962",0.26,"67,445,701",0.25,"90,078,694",0.17,"96,451,798",0.3,"65,181,744",0.24,"29,656,273",0.2,"54,054,572",0.31,"9,931,269",0.16,"22,756,338",0.36,"24,321,334",0.57,"12,251,373",0.12,"109,925,633",0.22,"25,010,518",0.05,"331,888,077",0.08,"90,475,427",0.27,"10,702,895",0.16,"125,050,220",0.25,"34,350,785",0.26,"51,888,207",0.19,"143,693,284",0.21,"12,511,068",0.11,"47,427,647",0.18,"7,968,349",0.24,"57,765,304",0.44,"251,601,569",0.14,"28,056,194",0.54,"7,979,012",0.18,"80,898,628",0.33,"86,679,966",0.27,"18,367,067",0.16,"59,452,835",0.22,"10,311,528",0.3
71,     Direct general expenditure,"2,961,032,115",0.05,"40,186,385",0.21,"13,642,439",0.18,"45,852,942",0.18,"23,797,003",0.18,"444,896,618",0.21,"47,388,311",0.42,"34,774,492",0.2,"9,938,805",0,"12,770,520",0,"145,404,608",0.2,"68,699,529",0.23,"13,708,338",0,"11,009,253",0.28,"111,474,910",0.31,"51,842,044",0.24,"30,564,782",0.34,"25,207,874",0.37,"38,916,739",0.12,"40,616,437",0.07,"11,364,348",0.24,"58,596,919",0.05,"75,269,071",0.19,"82,625,733",0.33,"56,578,548",0.26,"25,829,560",0.17,"45,935,551",0.26,"8,706,577",0.18,"17,154,285",0.42,"20,279,254",0.68,"10,791,559",0.13,"92,682,629",0.25,"21,892,572",0.05,"269,057,558",0.1,"78,824,462",0.29,"9,487,472",0.18,"103,095,495",0.3,"29,317,806",0.23,"43,542,458",0.21,"122,289,324",0.17,"10,618,468",0.06,"40,753,953",0.16,"6,991,451",0.26,"45,044,663",0.45,"214,444,070",0.15,"23,939,328",0.63,"7,231,548",0.17,"71,279,290",0.36,"70,326,941",0.3,"16,226,948",0.16,"51,083,613",0.24,"9,078,632",0.33
72,          Capital outlay,"301,462,421",0.21,"3,804,695",0.74,"2,451,967",0.34,"3,713,249",0.97,"2,249,182",0.97,"36,437,201",1.3,"5,338,431",2.2,"4,238,229",0.31,"845,999",0,"1,413,165",0,"15,803,135",0.81,"7,962,274",1.27,"1,628,513",0,"1,042,444",2.47,"12,903,977",0.95,"5,078,054",0.56,"4,495,240",1.11,"3,355,362",0.78,"4,188,259",0.54,"5,054,643",0.36,"805,306",1.7,"4,924,544",0.1,"6,733,843",0.9,"5,840,799",2.08,"6,863,688",1.3,"2,388,138",0.95,"4,415,176",1.14,"885,537",1.59,"2,465,035",1.13,"2,249,854",0.13,"834,577",0.41,"8,663,506",0.98,"1,884,765",0.23,"24,430,614",0.5,"7,071,792",0.55,"2,311,485",0.41,"9,945,786",0.62,"3,679,133",0.74,"3,621,723",0.99,"12,512,411",0.62,"639,914",0.22,"4,042,478",0.58,"1,217,628",1.26,"3,948,442",1.67,"29,120,471",0.46,"3,286,627",0.51,"539,117",0.61,"7,974,443",1.23,"8,539,321",1.06,"1,383,214",1.58,"4,744,460",1.54,"1,494,575",0.92
73,          Other direct general expenditure,"2,659,569,694",0.05,"36,381,690",0.22,"11,190,472",0.2,"42,139,693",0.18,"21,547,821",0.18,"408,459,417",0.2,"42,049,880",0.39,"30,536,263",0.23,"9,092,806",0,"11,357,355",0,"129,601,473",0.2,"60,737,255",0.21,"12,079,825",0,"9,966,809",0.17,"98,570,933",0.32,"46,763,990",0.26,"26,069,542",0.35,"21,852,512",0.41,"34,728,480",0.11,"35,561,794",0.06,"10,559,042",0.23,"53,672,375",0.05,"68,535,228",0.19,"76,784,934",0.31,"49,714,860",0.23,"23,441,422",0.16,"41,520,375",0.26,"7,821,040",0.09,"14,689,250",0.45,"18,029,400",0.77,"9,956,982",0.14,"84,019,123",0.26,"20,007,807",0.05,"244,626,944",0.09,"71,752,670",0.32,"7,175,987",0.2,"93,149,709",0.33,"25,638,673",0.25,"39,920,735",0.21,"109,776,913",0.18,"9,978,554",0.06,"36,711,475",0.17,"5,773,823",0.17,"41,096,221",0.47,"185,323,599",0.16,"20,652,701",0.72,"6,692,431",0.18,"63,304,847",0.38,"61,787,620",0.31,"14,843,734",0.09,"46,339,153",0.21,"7,584,057",0.36
74,     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,               Education,"973,025,032",0.04,"13,602,047",0.07,"3,542,512",0.47,"14,539,617",0,"8,358,803",0,"124,674,645",0.12,"16,331,079",0,"13,638,621",0.42,"3,678,447",0,"2,765,772",0,"41,501,078",0,"26,726,085",0,"3,390,117",0,"3,356,579",0,"37,607,030",0,"17,490,235",0,"11,006,220",0,"9,390,613",0,"12,550,355",0,"12,306,565",0,"3,417,674",0.45,"20,040,652",0,"21,962,330",0.49,"29,997,117",0,"18,245,878",0,"8,273,038",0,"15,082,413",0,"2,879,944",0,"7,198,248",0,"6,084,804",0,"4,130,584",0.2,"36,310,695",0.11,"6,670,568",0,"82,515,766",0.1,"25,802,652",0.71,"3,221,032",0,"34,099,872",0.33,"10,555,857",0,"13,379,582",0,"41,545,149",0.01,"3,339,874",0,"14,308,521",0,"2,454,389",0,"13,914,022",1.1,"83,343,071",0.02,"9,532,763",0,"2,751,920",0,"25,549,196",0.59,"23,368,058",0.17,"5,358,703",0,"18,085,655",0.03,"3,148,585",0
76,                    Capital outlay,"92,857,183",0.12,"1,216,969",0.75,"624,691",1.27,"1,172,925",0,"768,108",0,"10,582,354",0,"1,834,350",0,"1,337,785",0.2,"246,322",0,"332,893",0,"2,669,820",0,"2,667,182",0,"364,978",0,"147,704",0,"2,651,056",0,"1,735,881",0,"1,473,257",0,"1,504,579",0,"1,262,166",0,"1,099,823",0,"158,452",0.19,"1,885,567",0,"1,793,505",2.96,"2,668,098",0,"2,132,983",0,"754,524",0,"1,224,213",0,"225,440",0,"966,680",0,"315,276",0,"283,331",0,"3,107,672",0.19,"905,563",0,"6,556,933",0.22,"1,677,234",0.77,"579,730",0,"3,551,199",0,"1,157,110",0,"1,339,082",0,"3,088,127",0,"84,644",0,"1,506,730",0,"389,283",0,"1,017,359",1.66,"12,051,464",0,"1,327,408",0,"133,353",0,"2,664,379",3.61,"2,955,042",0,"380,970",0,"1,689,123",0.33,"593,866",0
77,                 Higher education,"288,119,040",0.04,"4,881,370",0,"1,092,961",0,"5,964,228",0,"2,711,408",0,"39,921,915",0,"5,994,326",0,"3,367,320",0,"1,262,793",0,"158,943",0,"10,798,564",0,"5,721,378",0,"1,110,246",0,"1,107,259",0,"9,494,824",0,"6,434,544",0,"3,918,636",0,"3,459,328",0,"4,375,744",0,"3,524,192",0,"813,161",0,"6,349,697",0,"5,194,474",0,"11,719,911",0,"5,082,362",0,"3,171,647",0,"3,903,267",0,"939,252",0,"2,431,684",0,"1,408,963",0,"985,188",0,"6,987,166",0,"2,576,501",0,"14,301,934",0.58,"9,688,518",0.65,"1,220,090",0,"9,598,486",0,"4,036,659",0,"5,008,260",0,"10,761,940",0,"682,812",0,"4,167,461",0,"881,094",0,"3,704,819",0,"27,908,606",0,"4,402,104",0,"871,891",0,"7,975,408",0,"7,098,190",0,"1,754,454",0,"6,294,886",0,"898,176",0
78,                    Capital outlay,"34,024,163",0.04,"529,566",0,"361,482",0,"641,745",0,"249,927",0,"3,795,388",0,"952,329",0,"593,763",0,"137,974",0,"17,610",0,"677,741",0,"716,989",0,"122,875",0,"72,087",0,"631,106",0,"746,594",0,"582,771",0,"538,411",0,"524,047",0,"516,639",0,"62,825",0,"826,205",0,"741,707",0,"1,604,980",0,"416,628",0,"417,067",0,"330,168",0,"45,859",0,"324,628",0,"90,128",0,"141,135",0,"1,190,653",0,"344,626",0,"1,899,516",0.76,"752,085",0.68,"166,796",0,"1,679,520",0,"511,146",0,"652,797",0,"1,229,861",0,"9,421",0,"435,845",0,"185,368",0,"424,644",0,"3,716,830",0,"618,294",0,"89,517",0,"1,035,766",0,"746,962",0,"191,427",0,"593,280",0,"139,435",0
79,                 Elementary & secondary,"633,560,909",0.06,"7,700,623",0.13,"2,366,586",0.71,"7,840,634",0,"5,088,236",0,"78,527,510",0.19,"9,407,782",0,"9,435,739",0.6,"1,949,722",0,"2,606,829",0,"27,362,982",0.01,"18,916,855",0,"2,122,302",0,"2,046,687",0,"26,537,479",0,"9,967,447",0,"6,584,354",0.01,"5,648,205",0,"7,125,687",0,"7,929,634",0,"2,424,659",0.63,"12,842,425",0,"15,482,147",0.7,"16,951,162",0,"12,229,969",0,"4,581,223",0,"10,312,449",0,"1,839,197",0,"4,530,479",0,"4,225,047",0,"2,924,046",0.28,"26,985,959",0.15,"3,658,275",0,"66,104,577",0,"14,210,159",1.22,"1,873,417",0,"23,163,728",0.48,"5,902,968",0,"7,145,409",0,"28,231,954",0.01,"2,414,756",0,"8,611,569",0,"1,431,042",0,"9,326,191",1.64,"53,079,745",0.03,"4,816,719",0,"1,608,485",0,"16,427,479",0.92,"14,874,831",0.26,"3,086,288",0,"11,084,196",0.05,"2,015,066",0
80,                    Capital outlay,"58,371,498",0.19,"677,333",1.36,"262,098",3.04,"528,832",0,"518,181",0,"6,786,966",0,"880,207",0,"629,509",0.43,"104,579",0,"315,283",0,"1,985,361",0,"1,834,823",0,"242,036",0,"74,932",0,"2,015,647",0,"986,760",0,"889,597",0,"964,098",0,"736,079",0,"577,726",0,"95,316",0.32,"1,055,684",0,"1,038,747",5.12,"1,062,838",0,"1,709,930",0,"335,067",0,"890,008",0,"179,414",0,"641,980",0,"224,528",0,"137,180",0,"1,915,927",0.31,"551,143",0,"4,657,222",0,"923,006",1.28,"412,048",0,"1,856,241",0,"641,999",0,"686,104",0,"1,807,319",0,"74,466",0,"1,065,529",0,"192,304",0,"560,147",3.02,"8,333,979",0.01,"709,114",0,"42,911",0,"1,627,756",5.9,"2,204,456",0,"181,392",0,"1,093,394",0.51,"454,302",0
81,                 Other education,"51,345,083",0,"1,020,054",0,"82,965",0,"734,755",0,"559,159",0,"6,225,220",0,"928,971",0,"835,562",0,"465,932",0,0,0,"3,339,532",0,"2,087,852",0,"157,569",0,"202,633",0,"1,574,727",0,"1,088,244",0,"503,230",0,"283,080",0,"1,048,924",0,"852,739",0,"179,854",0,"848,530",0,"1,285,709",0,"1,326,044",0,"933,547",0,"520,168",0,"866,697",0,"101,495",0,"236,085",0,"450,794",0,"221,350",0,"2,337,570",0,"435,792",0,"2,109,255",0,"1,903,975",0,"127,525",0,"1,337,658",0,"616,230",0,"1,225,913",0,"2,551,255",0,"242,306",0,"1,529,491",0,"142,253",0,"883,012",0,"2,354,720",0,"313,940",0,"271,544",0,"1,146,309",0,"1,395,037",0,"517,961",0,"706,573",0,"235,343",0
82,               Libraries,"12,025,959",1.36,"95,107",3.54,"46,079",0.99,"171,791",1.75,"97,520",5.34,"1,460,759",5.71,"289,409",16.27,"174,148",0.81,"50,594",0,"75,218",0,"567,323",3.46,"216,742",2.68,"34,794",0,"58,931",10.2,"793,608",6.52,"402,890",7.54,"141,569",1.43,"123,565",3.4,"148,250",15.66,"198,279",0.15,"41,681",2.17,"185,732",0,"328,632",1.22,"382,716",7.21,"246,657",2.49,"47,193",11.84,"267,644",8.53,"28,594",0.95,"71,414",3.05,"101,527",2.05,"54,162",2,"424,933",3.13,"42,465",0.76,"1,016,813",4.6,"265,719",2.81,"18,310",0.25,"500,347",18.12,"137,476",5.57,"225,469",2.37,"219,889",2.22,"39,469",0,"155,183",0.1,"31,630",2.74,"136,804",2.5,"581,615",1.97,"104,657",1,"21,707",2.12,"329,073",4.17,"472,803",3.12,"55,613",9.94,"311,060",2.01,"32,396",0.03
83,     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,               Public welfare,"652,513,527",0.02,"8,404,388",0.16,"2,238,872",0,"12,937,972",0,"6,914,795",0.09,"113,426,356",0,"8,543,733",0.02,"3,853,992",0.02,"2,416,452",0,"3,785,463",0,"26,441,109",0.03,"11,777,936",0.28,"2,841,269",0,"2,440,566",0,"21,280,856",0.06,"12,767,122",0.08,"6,135,176",0.05,"4,006,358",0.12,"11,209,220",0.01,"8,963,138",0,"3,175,627",0.03,"12,190,746",0,"21,859,222",0.01,"16,927,188",0.3,"15,237,715",0.29,"6,180,453",0.12,"9,158,537",0.15,"1,770,617",0,"2,552,348",0.59,"3,569,076",0,"2,259,221",0.01,"16,796,402",0.01,"6,277,708",0,"65,094,779",0.1,"14,279,156",0.21,"1,532,130",0,"28,413,857",0.26,"6,660,627",0,"10,263,844",0.01,"30,143,713",0,"2,979,209",0,"7,581,562",0,"1,120,559",0.12,"11,690,007",0.14,"37,620,343",0.12,"3,766,068",0.01,"1,879,062",0.01,"11,519,079",0.33,"11,778,473",0.01,"4,747,353",0,"12,250,660",0.45,"853,413",0.05
85,                    Cash assistance payments,"25,693,784",0.11,"1,369,945",0,"121,747",0,"318,930",0,"8,837",0,"7,280,037",0,"142,465",0.01,"189,704",0.06,"42,014",0,"152,274",0,"230,473",0,"107,014",0,"44,287",0,"61,735",0,"156,269",0,"308,480",0,"228,157",0.13,"56,414",0,"180,983",0,"34,791",0.05,"56,654",0.18,"1,370,586",0,"490,317",0,"265,879",0,"638,683",1.61,"50,994",0,"104,988",0,0,0,"29,102",0.01,"48,664",0,"52,990",0.32,"652,781",0,"56,879",0,"2,632,790",0.64,"708,731",2.46,"64,107",0,"516,508",1.54,"146,794",0,"271,414",0,"1,524,987",0,"25,916",0,"194,447",0,"78,669",0,"552,278",0.03,"1,903,860",0,"588,044",0,"52,051",0,"440,198",1.38,"496,925",0,"365,926",0,"277,056",2.26,10,0
86,                    Vendor payments,"537,666,910",0.01,"6,329,671",0,"1,774,673",0,"9,889,763",0,"6,313,976",0,"91,158,004",0,"7,036,956",0.02,"2,515,660",0,"1,992,880",0,"2,913,937",0,"23,408,486",0,"10,393,181",0,"2,273,923",0,"2,060,265",0,"17,880,237",0,"11,299,968",0,"5,352,695",0.01,"3,383,313",0,"10,096,967",0,"8,187,252",0,"2,321,473",0,"9,657,344",0,"19,852,624",0,"13,607,843",0,"12,468,218",0.07,"5,740,482",0,"8,366,727",0,"1,605,391",0,"1,768,016",0,"2,878,130",0,"1,716,660",0.01,"11,733,785",0,"5,846,170",0,"53,130,700",0.05,"12,041,705",0,"1,192,603",0,"24,574,169",0.01,"5,468,656",0,"6,505,022",0,"23,680,311",0,"2,642,032",0,"6,655,952",0,"789,238",0,"10,094,059",0,"32,612,239",0.03,"2,756,794",0,"1,178,831",0,"9,088,570",0.03,"9,850,907",0,"3,816,899",0,"9,120,221",0,"643,332",0
87,                    Other public welfare,"89,152,833",0.17,"704,772",1.9,"342,452",0.02,"2,729,279",0.01,"591,982",1.11,"14,988,315",0,"1,364,312",0.05,"1,148,628",0.06,"381,558",0,"719,252",0,"2,802,150",0.33,"1,277,741",2.61,"523,059",0,"318,566",0.01,"3,244,350",0.38,"1,158,674",0.88,"554,324",0.59,"566,631",0.84,"931,270",0.09,"741,095",0,"797,500",0.1,"1,162,816",0,"1,516,281",0.08,"3,053,466",1.68,"2,130,814",1.97,"388,977",1.98,"686,822",1.98,"165,226",0,"755,230",1.98,"642,282",0,"489,571",0.04,"4,409,836",0.03,"374,659",0,"9,331,289",0.62,"1,528,720",1.6,"275,420",0,"3,323,180",2.24,"1,045,177",0.03,"3,487,408",0.02,"4,938,415",0,"311,261",0,"731,163",0.01,"252,652",0.54,"1,043,670",1.52,"3,104,244",1.38,"421,230",0.11,"648,180",0.03,"1,990,311",1.87,"1,430,641",0.06,"564,528",0.03,"2,853,383",1.9,"210,071",0.19
88,               Hospitals,"181,437,107",0.25,"5,956,802",0.48,"462,159",2.16,"1,011,959",0.05,"1,128,349",1.68,"26,923,916",0.89,"2,425,927",1.68,"1,392,930",0,"83,923",0,"269,888",0,"8,809,795",0.25,"4,758,505",1.12,"628,652",0,"706,634",0.17,"3,121,980",2.83,"5,273,855",1.78,"3,540,545",2.3,"2,926,761",2.54,"2,429,443",0.08,"2,795,362",0.08,"204,384",0.13,"585,049",0,"1,580,333",0,"4,628,045",2.06,"2,118,844",3.4,"3,899,751",0.55,"3,899,470",1.03,"153,721",0.71,"880,230",5.7,"919,561",0,"54,859",0.05,"2,341,904",0,"1,488,837",0.09,"16,600,961",0.51,"10,210,785",0.98,"48,053",0.03,"4,459,667",2.63,"1,129,593",0.96,"2,577,078",1.98,"4,313,581",0.01,"61,822",0,"6,553,299",0.4,"101,037",0.26,"3,571,353",2.45,"17,819,866",0.72,"1,919,767",7.48,"22,210",0.04,"5,087,316",0.01,"5,690,289",1.66,"480,753",0.03,"2,184,107",1.59,"1,203,197",0.79
89,                    Capital outlay,"9,074,497",0.51,"319,453",0.24,"61,959",0.02,"30,130",0.97,"25,630",14.64,"1,560,243",1.25,"138,984",13.52,"17,990",0,300,0,"23,417",0,"463,960",0.17,"218,085",0.57,"6,086",0,"67,349",0,"73,100",3.73,"380,127",1.58,"406,579",3.29,"131,864",2.4,"147,609",0.01,"182,512",0.01,"1,096",0.93,"14,089",0,"87,118",0,"46,110",2.34,"51,587",3.4,"163,806",3.75,"272,869",0.17,"4,194",0,"70,763",14.89,"35,569",0,"2,823",0,"4,841",0,"38,481",0.3,"829,438",0,"629,333",0.81,52,0,"221,237",1.78,"42,872",1.63,"213,991",1.31,"164,486",0.05,"3,761",0,"231,048",2.45,"6,218",0,"199,833",1.88,"759,730",3.73,"96,908",0,47,0,"183,069",0,"266,212",4.15,"8,549",0,"95,282",0,"73,708",0.09
