F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
     Unemployment compensation,"631,210",0.00,"152,565",0.00,"118,612",0.00,"534,450",0.00,"105,841",0.00,"2,802,908",0.00,"272,235",0.00,"3,620,793",0.00,"1,376,622",0.00,"125,533",0.00,"1,277,814",0.00,"335,965",0.00,"1,071,828",0.00,"3,099,472",0.00,"267,720",0.00,"467,790",0.00,"44,134",0.00,"378,748",0.00,"2,311,936",0.00,"316,297",0.00,"147,127",0.00,"713,179",0.00,"1,440,874",0.00,"214,990",0.00,"1,105,326",0.00,"106,112",0.00
     Employee retirement,"5,913,656",1.52,"761,233",0.03,"1,293,963",2.20,"2,777,215",0.00,"744,521",0.00,"4,401,633",0.00,"1,709,281",0.00,"29,257,935",0.00,"3,703,966",0.01,"612,942",0.00,"15,043,525",0.00,"2,000,390",0.80,"4,664,407",0.00,"9,557,543",1.53,"503,969",0.79,"2,336,319",0.00,"640,295",0.00,"2,832,887",1.19,"11,147,398",0.50,"2,032,854",0.00,"103,005",0.00,"6,178,393",0.35,"4,612,315",0.05,"906,669",0.81,"7,526,263",0.00,"625,170",0.00
     Workers' compensation,"90,551",0.00,"199,567",0.00,85,0.00,0,0.00,0,0.00,"281,322",0.00,"30,413",0.00,"3,138,671",0.00,0,0.00,"290,885",0.00,"1,497,151",0.00,"338,270",0.00,"640,397",0.00,"330,653",0.00,"17,838",0.00,"80,128",0.00,28,0.00,0,0.00,"1,482,104",0.00,"271,884",0.00,0,0.00,"2,848",0.00,"2,755,830",0.00,"61,216",0.00,"4,837",0.00,"372,852",0.00
     Other insurance trust revenue,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"517,335",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"177,224",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
           Expenditure1,"52,652,230",0.19,"9,471,049",0.11,"22,024,166",0.36,"23,302,108",0.64,"11,588,223",0.08,"107,297,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,554,257",0.26,"33,578,750",0.22,"49,097,293",0.17,"135,745,814",0.25,"12,261,929",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.40,"26,724,492",0.31,"7,756,592",0.19,"78,134,213",0.32,"82,180,083",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,918,646",0.23
By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Intergovernmental expenditure1,"53,687",0.00,0,0.00,"43,415",0.00,"2,242",0.00,0,0.00,"19,000",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"12,963",0.00,"52,167",0.00,0,0.00,"130,023",0.00,"18,246",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"1,908",0.00,"5,916",0.00,0,0.00,0,0.00,"19,863",0.00
     Direct expenditure,"52,598,543",0.19,"9,471,049",0.11,"21,980,751",0.36,"23,299,866",0.64,"11,588,223",0.08,"107,278,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,541,294",0.26,"33,526,583",0.23,"49,097,293",0.17,"135,615,791",0.25,"12,243,683",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.40,"26,724,492",0.31,"7,756,592",0.19,"78,132,305",0.32,"82,174,167",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,898,783",0.23
          Current operations,"40,790,005",0.22,"7,303,964",0.10,"17,313,171",0.40,"17,119,196",0.87,"9,337,023",0.09,"80,047,483",0.18,"18,986,186",0.05,"236,591,504",0.10,"69,975,990",0.33,"6,846,248",0.20,"88,418,269",0.34,"25,386,820",0.26,"37,967,271",0.20,"101,874,774",0.21,"9,257,526",0.09,"35,938,111",0.18,"5,577,635",0.18,"45,826,312",0.50,"178,282,358",0.54,"20,350,359",0.37,"6,504,028",0.22,"60,191,262",0.40,"59,928,835",0.33,"13,866,608",0.10,"46,110,478",0.22,"7,463,402",0.24
          Capital outlay,"4,352,752",0.88,"939,000",0.85,"2,865,584",1.29,"2,367,490",0.50,"815,527",0.61,"9,395,760",0.87,"2,506,346",0.78,"33,428,793",0.29,"7,422,511",0.93,"2,286,958",1.77,"10,558,043",0.79,"4,180,715",0.81,"4,146,131",0.96,"12,525,549",1.12,"714,791",0.11,"3,873,135",0.93,"1,121,393",0.22,"4,891,471",1.27,"29,791,196",0.48,"3,101,861",1.18,"548,585",0.75,"8,423,045",0.76,"10,277,682",1.23,"1,377,709",0.42,"5,340,151",1.28,"1,555,458",0.87
               Construction,"3,331,262",1.02,"781,610",0.95,"2,228,166",1.59,"1,803,949",0.66,"665,215",0.72,"7,290,859",1.10,"1,749,103",0.23,"28,242,836",0.28,"5,590,438",1.16,"1,990,076",2.03,"8,651,110",0.92,"3,122,913",0.85,"3,504,414",1.07,"10,301,379",1.33,"550,604",0.06,"2,904,245",1.21,"1,004,920",0.21,"3,801,526",1.55,"24,520,406",0.55,"2,212,867",1.63,"424,778",0.89,"6,745,706",0.69,"7,972,744",1.45,"1,105,296",0.45,"4,352,470",1.52,"1,277,999",1.02
               Other capital outlay,"1,021,490",1.71,"157,390",1.87,"637,418",1.62,"563,541",0.07,"150,312",0.88,"2,104,901",0.80,"757,243",2.53,"5,185,957",1.02,"1,832,073",1.31,"296,882",1.26,"1,906,933",1.37,"1,057,802",1.96,"641,717",2.10,"2,224,170",1.41,"164,187",0.43,"968,890",0.84,"116,473",0.97,"1,089,945",1.86,"5,270,790",0.83,"888,994",0.61,"123,807",1.25,"1,677,339",2.63,"2,304,938",2.26,"272,413",1.15,"987,681",1.72,"277,459",1.29
          Assistance and subsidies,"608,339",0.00,"87,345",0.00,"191,885",0.00,"387,270",0.00,"224,864",0.08,"1,714,031",0.00,"292,723",0.00,"4,771,722",0.34,"1,799,232",1.07,"111,112",0.00,"1,553,955",0.49,"501,566",0.00,"498,600",0.00,"2,364,279",0.00,"159,199",0.00,"1,288,344",0.00,"122,330",0.00,"1,224,251",0.00,"3,265,396",0.00,"816,405",0.00,"168,487",0.00,"1,217,199",0.61,"1,577,951",0.00,"571,299",0.00,"678,683",0.98,"50,060",0.00
          Interest on debt,"1,782,355",0.69,"192,818",0.41,"547,829",1.30,"1,069,638",0.03,"451,064",0.13,"3,357,386",0.48,"535,767",0.37,"16,231,546",0.17,"2,467,523",0.79,"201,934",1.64,"3,191,128",1.01,"761,343",0.90,"1,219,323",0.65,"4,435,861",0.51,"641,669",0.03,"1,486,911",0.25,"203,385",0.25,"1,535,288",0.68,"11,269,901",0.47,"749,241",0.57,"155,254",0.41,"2,537,278",0.67,"3,368,190",0.32,"315,485",0.83,"1,341,981",0.65,"68,125",1.42
          Insurance benefits and repayments,"5,065,092",0.25,"947,922",0.03,"1,062,282",1.25,"2,356,272",0.00,"759,745",0.00,"12,763,364",0.00,"2,195,410",0.00,"32,953,841",0.00,"5,756,018",0.00,"717,875",0.00,"16,819,899",0.00,"2,696,139",0.16,"5,265,968",0.00,"14,415,328",1.54,"1,470,498",0.53,"3,331,620",0.00,"535,467",0.00,"3,239,382",1.00,"18,579,958",0.21,"1,706,626",0.00,"380,238",0.00,"5,763,521",0.86,"7,021,509",0.09,"1,442,408",0.46,"5,702,800",0.00,"761,738",0.00
          Exhibit: Salaries and wages,"13,686,105",0.34,"2,682,848",0.17,"5,822,170",0.37,"6,716,606",0.15,"3,639,300",0.14,"33,202,166",0.54,"5,952,673",0.66,"80,772,100",0.19,"25,839,866",0.14,"2,394,594",0.23,"29,988,237",0.27,"9,168,870",0.21,"11,143,300",0.37,"31,904,223",0.33,"3,065,422",0.23,"11,832,177",1.09,"2,029,433",0.36,"14,229,125",0.45,"70,990,218",0.03,"7,041,964",0.94,"2,106,749",0.09,"22,742,300",0.29,"22,318,154",0.52,"4,307,388",1.55,"15,111,107",0.37,"2,660,152",0.20
Direct expenditure by function,"52,598,543",0.19,"9,471,049",0.11,"21,980,751",0.36,"23,299,866",0.64,"11,588,223",0.08,"107,278,024",0.16,"24,516,432",0.09,"323,977,406",0.08,"87,421,274",0.28,"10,164,127",0.42,"120,541,294",0.26,"33,526,583",0.23,"49,097,293",0.17,"135,615,791",0.25,"12,243,683",0.09,"45,918,121",0.16,"7,560,210",0.13,"56,716,704",0.42,"241,188,809",0.40,"26,724,492",0.31,"7,756,592",0.19,"78,132,305",0.32,"82,174,167",0.28,"17,573,509",0.09,"59,174,093",0.21,"9,898,783",0.23
     Direct general expenditure,"44,832,228",0.19,"8,257,534",0.11,"16,530,312",0.43,"19,574,933",0.76,"10,183,702",0.09,"90,691,228",0.18,"21,581,532",0.10,"257,878,354",0.09,"75,794,021",0.30,"9,017,967",0.47,"99,205,156",0.31,"28,698,897",0.19,"40,726,450",0.18,"114,666,766",0.20,"10,452,691",0.08,"39,095,195",0.16,"6,648,371",0.14,"43,999,282",0.44,"204,929,028",0.47,"22,558,829",0.33,"7,019,180",0.18,"68,967,488",0.36,"66,275,514",0.32,"15,687,219",0.08,"51,021,463",0.23,"8,715,983",0.24
          Capital outlay,"4,083,483",0.91,"873,790",0.75,"2,190,918",1.54,"2,120,508",0.56,"790,008",0.63,"8,400,567",0.87,"2,378,165",0.82,"23,231,137",0.35,"6,476,853",0.76,"2,113,185",1.92,"9,847,252",0.83,"3,641,629",0.60,"3,383,736",0.91,"11,408,193",0.84,"646,925",0.12,"3,516,803",0.88,"1,072,077",0.21,"3,953,204",1.47,"25,364,328",0.47,"2,816,371",0.60,"498,963",0.80,"7,678,585",0.80,"7,817,799",1.41,"1,272,616",0.41,"5,167,463",1.32,"1,418,123",0.81
          Other direct general expenditure,"40,748,745",0.19,"7,383,744",0.09,"14,339,394",0.43,"17,454,425",0.85,"9,393,694",0.08,"82,290,661",0.18,"19,203,367",0.05,"234,647,217",0.10,"69,317,168",0.32,"6,904,782",0.20,"89,357,904",0.33,"25,057,268",0.20,"37,342,714",0.18,"103,258,573",0.20,"9,805,766",0.09,"35,578,392",0.16,"5,576,294",0.16,"40,046,078",0.46,"179,564,700",0.53,"19,742,458",0.37,"6,520,217",0.18,"61,288,903",0.39,"58,457,715",0.31,"14,414,603",0.08,"45,854,000",0.21,"7,297,860",0.24
     Education services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Education,"14,918,266",0.00,"2,733,189",0.00,"6,605,132",0.00,"5,979,757",0.00,"3,956,760",0.00,"34,913,867",0.08,"6,771,650",0.00,"79,661,297",0.12,"25,130,615",0.71,"2,943,802",0.00,"33,214,028",0.32,"10,068,576",0.00,"12,211,371",0.00,"39,662,450",0.01,"3,226,261",0.00,"13,684,109",0.00,"2,249,337",0.00,"13,968,277",1.07,"80,037,196",0.02,"8,655,971",0.00,"2,607,876",0.00,"25,326,798",0.51,"21,182,814",0.18,"5,319,408",0.00,"17,748,869",0.01,"2,958,410",0.00
                    Capital outlay,"1,250,230",0.00,"220,449",0.00,"739,070",0.00,"386,656",0.00,"222,999",0.00,"2,547,605",0.20,"991,966",0.00,"6,294,062",0.05,"1,537,324",1.21,"511,766",0.00,"3,438,777",0.00,"1,090,181",0.00,"1,265,004",0.00,"2,637,319",0.00,"78,682",0.00,"1,377,086",0.00,"322,777",0.00,"929,951",1.33,"9,724,772",0.09,"959,572",0.00,"86,217",0.00,"2,663,272",1.99,"2,397,235",0.01,"419,239",0.00,"1,566,270",0.03,"531,677",0.00
                 Higher education,"3,948,468",0.00,"861,806",0.00,"2,194,844",0.00,"1,467,764",0.00,"902,074",0.00,"6,414,132",0.00,"2,564,532",0.00,"13,723,924",0.67,"9,625,502",0.63,"1,103,481",0.00,"9,447,815",0.00,"3,580,311",0.00,"4,279,956",0.00,"10,164,827",0.00,"647,146",0.00,"4,046,987",0.00,"696,354",0.00,"3,913,615",0.00,"27,592,367",0.00,"3,950,995",0.00,"761,518",0.00,"7,926,172",0.00,"6,570,975",0.00,"1,661,232",0.00,"6,020,021",0.00,"792,664",0.00
                    Capital outlay,"378,440",0.00,"59,279",0.00,"289,424",0.00,"180,509",0.00,"95,752",0.00,"934,201",0.00,"398,277",0.00,"1,756,807",0.16,"798,732",1.77,"208,117",0.00,"1,627,354",0.00,"414,881",0.00,"786,960",0.00,"821,727",0.00,"10,530",0.00,"443,185",0.00,"91,915",0.00,"405,377",0.00,"2,946,224",0.00,"353,281",0.00,"26,608",0.00,"1,118,094",0.00,"792,758",0.00,"162,457",0.00,"665,359",0.00,"122,129",0.00
                 Elementary & secondary,"10,143,623",0.00,"1,766,460",0.00,"4,182,018",0.01,"4,120,968",0.00,"2,855,356",0.00,"26,291,639",0.10,"3,776,547",0.00,"63,746,736",0.00,"13,871,002",1.22,"1,724,107",0.00,"22,268,471",0.48,"5,920,523",0.00,"6,650,721",0.00,"27,116,194",0.01,"2,345,432",0.00,"8,227,462",0.00,"1,418,664",0.00,"9,196,579",1.63,"50,194,697",0.03,"4,417,102",0.00,"1,588,738",0.00,"16,328,974",0.79,"13,251,065",0.29,"3,149,841",0.00,"10,856,187",0.01,"1,923,344",0.00
                    Capital outlay,"869,078",0.00,"160,908",0.00,"449,296",0.00,"205,806",0.00,"125,475",0.00,"1,610,713",0.31,"587,243",0.00,"4,536,813",0.00,"736,008",1.63,"303,053",0.00,"1,752,121",0.00,"669,899",0.00,"477,516",0.00,"1,680,413",0.00,"67,568",0.00,"928,112",0.00,"221,974",0.00,"516,300",2.40,"6,774,900",0.12,"606,291",0.00,"58,856",0.00,"1,542,659",3.44,"1,601,541",0.01,"232,738",0.00,"896,526",0.06,"409,425",0.00
                 Other education,"826,175",0.00,"104,923",0.00,"228,270",0.00,"391,025",0.00,"199,330",0.00,"2,208,096",0.00,"430,571",0.00,"2,190,637",0.00,"1,634,111",0.00,"116,214",0.00,"1,497,742",0.00,"567,742",0.00,"1,280,694",0.00,"2,381,429",0.00,"233,683",0.00,"1,409,660",0.00,"134,319",0.00,"858,083",0.00,"2,250,132",0.00,"287,874",0.00,"257,620",0.00,"1,071,652",0.00,"1,360,774",0.00,"508,335",0.00,"872,661",0.00,"242,402",0.00
               Libraries,"234,664",9.26,"28,229",0.89,"66,267",2.27,"98,647",1.82,"52,122",2.18,"429,879",2.63,"39,089",0.81,"969,089",4.30,"241,546",2.98,"16,763",0.28,"488,422",20.92,"132,506",6.02,"217,349",2.11,"210,898",1.99,"37,643",0.00,"142,946",0.01,"30,091",0.69,"137,259",2.19,"553,585",2.31,"114,811",0.86,"22,408",1.95,"332,262",3.93,"416,934",3.22,"54,794",7.70,"309,221",2.02,"31,885",0.03
     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Public welfare,"8,916,821",0.14,"1,517,966",0.00,"2,560,190",0.59,"3,361,207",0.00,"1,882,390",0.02,"16,306,123",0.01,"5,797,992",0.00,"60,349,815",0.12,"14,581,368",0.21,"1,441,878",0.00,"26,179,916",0.27,"6,675,200",0.00,"9,928,140",0.01,"26,742,091",0.00,"2,928,577",0.00,"7,623,285",0.00,"1,113,548",0.11,"10,848,714",0.13,"35,419,136",0.03,"3,582,549",0.02,"1,770,132",0.01,"10,882,799",0.30,"11,552,131",0.00,"4,636,156",0.00,"11,606,648",0.45,"822,785",0.04
                    Cash assistance payments,"119,907",0.00,0,0.00,"29,096",0.01,"53,074",0.00,"82,233",0.22,"692,415",0.00,"57,011",0.00,"2,673,867",0.60,"689,852",2.78,"66,197",0.00,"355,141",2.16,"126,714",0.00,"296,151",0.00,"1,388,331",0.00,"30,316",0.00,"333,974",0.00,"83,491",0.00,"587,121",0.00,"1,699,459",0.00,"592,322",0.00,"48,844",0.00,"386,867",1.91,"475,772",0.00,"336,851",0.00,"245,087",2.72,21,0.00
                    Vendor payments,"8,102,896",0.00,"1,365,212",0.00,"1,769,225",0.00,"2,664,595",0.00,"1,319,202",0.01,"11,536,398",0.00,"5,332,305",0.00,"48,882,596",0.05,"12,379,644",0.00,"1,159,420",0.00,"22,527,964",0.02,"5,524,426",0.00,"6,540,014",0.00,"20,911,307",0.00,"2,628,248",0.00,"6,606,111",0.00,"769,278",0.00,"9,269,922",0.00,"30,845,519",0.03,"2,588,962",0.00,"1,095,343",0.00,"8,434,555",0.05,"9,743,967",0.00,"3,756,165",0.00,"8,745,677",0.00,"623,581",0.00
                    Other public welfare,"694,018",1.84,"152,754",0.00,"761,869",1.97,"643,538",0.00,"480,955",0.04,"4,077,310",0.02,"408,676",0.00,"8,793,352",0.77,"1,511,872",1.60,"216,261",0.00,"3,296,811",2.12,"1,024,060",0.03,"3,091,975",0.02,"4,442,453",0.00,"270,013",0.00,"683,200",0.01,"260,779",0.49,"991,671",1.44,"2,874,158",0.20,"401,265",0.17,"625,945",0.03,"2,061,377",1.55,"1,332,392",0.04,"543,140",0.03,"2,615,884",1.99,"199,183",0.18
               Hospitals,"3,696,663",0.90,"142,754",0.65,"1,062,441",4.36,"902,014",0.00,"55,161",0.00,"2,331,119",0.00,"1,428,397",0.10,"14,613,814",0.56,"9,170,928",0.99,"52,334",0.03,"4,325,455",2.62,"1,127,726",1.20,"2,457,856",1.78,"3,670,888",0.02,"56,811",0.00,"6,028,911",0.38,"96,717",0.33,"3,279,388",2.54,"17,378,091",5.26,"1,564,776",3.83,"20,975",0.04,"4,738,290",0.01,"5,262,026",1.54,"427,631",0.02,"2,006,613",1.65,"1,134,946",0.86
                    Capital outlay,"209,351",0.23,"2,276",0.00,"77,485",12.40,"21,836",0.00,"2,150",0.00,"5,578",0.00,"38,762",0.09,"837,501",0.00,"572,699",0.93,721,0.00,"349,336",2.17,"35,343",8.76,"111,900",1.50,"107,365",0.08,"1,639",0.00,"259,187",1.66,"3,890",0.00,"171,566",1.73,"1,145,210",1.13,"49,309",0.00,251,0.00,"239,533",0.00,"232,651",5.78,"8,144",0.02,"55,476",0.00,"81,815",0.08
               Health,"2,059,978",0.17,"349,826",0.05,"297,452",0.31,"373,885",0.02,"121,827",0.58,"3,277,020",0.17,"768,296",0.15,"6,776,522",1.09,"3,847,576",0.59,"179,009",1.56,"3,512,656",4.51,"1,006,928",0.47,"1,277,998",0.09,"4,816,267",0.07,"223,259",0.00,"1,206,479",0.00,"178,151",0.87,"938,093",1.69,"5,005,177",1.67,"529,239",0.76,"361,044",0.15,"2,170,760",3.40,"3,308,278",0.82,"281,185",0.42,"1,772,697",2.42,"399,471",0.47
               Employment security administration,"41,376",0.00,"41,558",0.00,"41,038",0.00,"67,504",0.00,"32,391",0.00,"195,939",0.00,"9,957",0.00,"235,694",0.00,"60,381",0.00,"17,912",0.00,"129,912",0.00,"83,322",0.00,"56,772",0.00,"98,469",0.00,"35,443",0.00,"55,846",0.00,"21,458",0.00,"64,765",0.00,"193,613",0.00,"10,892",0.00,"2,578",0.00,"82,881",0.00,"183,710",0.00,"23,067",0.00,"111,465",0.00,"26,687",0.00
               Veterans' services,"3,563",0.00,"2,199",0.00,"1,110",0.00,499,0.00,964,0.00,"15,575",0.00,"3,343",0.00,"11,467",0.00,"4,821",0.00,"3,735",0.00,"34,771",0.00,"12,649",0.00,"8,647",0.00,"7,847",0.00,0,0.00,0,0.00,"1,386",0.00,"5,411",0.00,"558,242",0.00,"2,069",0.00,"1,119",0.00,"10,983",0.00,"12,783",0.00,"9,811",0.00,"27,279",0.00,6,0.00
     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Highways,"2,405,557",1.34,"902,607",0.13,"1,450,008",2.23,"1,416,118",0.03,"722,872",0.44,"5,065,515",0.75,"1,077,678",1.26,"11,017,892",0.66,"4,139,236",0.91,"1,690,004",0.43,"5,865,912",0.85,"2,597,019",0.45,"2,058,285",0.75,"9,760,375",1.64,"443,967",0.00,"1,579,962",0.66,"923,556",0.51,"2,211,620",1.05,"12,622,191",0.70,"1,584,278",0.89,"659,200",1.34,"5,045,723",0.31,"4,179,683",1.26,"1,100,141",0.25,"4,473,794",1.45,"812,934",0.14
                    Capital outlay,"1,134,658",1.97,"390,769",0.04,"738,193",3.97,"752,604",0.01,"275,413",0.33,"3,441,752",0.98,"883,952",1.53,"6,178,821",0.92,"2,542,342",0.67,"1,087,759",0.45,"3,394,323",0.90,"1,682,342",0.56,"907,800",1.55,"5,963,183",0.69,"260,549",0.00,"828,232",1.15,"487,119",0.40,"1,165,501",1.52,"7,806,701",0.88,"853,845",1.52,"281,317",1.33,"2,638,694",0.40,"2,293,170",2.17,"514,452",0.02,"2,083,443",2.70,"456,934",0.16
               Air transportation (airports),"301,274",1.44,"65,697",0.55,"118,637",3.40,"368,354",0.00,"37,630",0.04,"26,075",5.22,"69,117",0.32,"2,244,848",0.33,"432,938",0.89,"54,078",3.63,"336,823",3.41,"180,816",4.39,"253,334",1.39,"555,867",3.68,"93,314",0.00,"226,107",1.60,"42,114",2.36,"407,897",3.52,"2,076,797",0.90,"241,306",2.38,"37,220",0.00,"675,848",2.56,"513,316",4.25,"62,186",3.72,"351,668",0.81,"98,077",10.43
               Parking facilities,"21,556",0.33,"5,807",0.00,"7,897",0.00,"7,433",0.00,"9,961",0.00,"78,038",4.26,"9,041",0.00,"106,896",0.99,"32,370",2.96,"4,895",0.38,"55,012",1.66,"20,986",0.39,"15,928",4.31,"215,269",3.57,"1,410",0.00,"26,588",0.82,"3,050",0.00,"11,395",0.67,"29,598",0.09,69,0.00,"5,894",0.05,"61,227",0.96,"19,958",0.45,"7,929",0.23,"56,507",1.13,"1,675",0.00
               Sea and inland port facilities,"3,296",5.39,"1,277",78.94,0,0.00,0,0.00,293,0.00,"76,756",0.18,0,0.00,"365,707",0.02,"33,529",0.58,0,0.00,"23,990",13.74,"9,882",1.40,"103,745",1.41,"72,639",3.06,"2,343",0.00,"182,170",0.03,0,0.00,"1,252",18.55,"459,430",0.40,0,0.00,0,0.00,"427,551",0.02,"551,061",16.42,"13,932",0.00,"6,631",3.77,0,0.00
     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Police protection,"1,718,313",1.29,"320,048",0.38,"464,920",0.93,"1,123,779",0.00,"400,873",0.69,"3,398,018",2.18,"677,223",0.37,"9,569,397",0.55,"2,994,177",1.47,"191,154",0.24,"3,419,005",1.58,"986,926",2.34,"1,216,039",1.22,"3,696,527",1.35,"418,785",0.00,"1,150,431",1.11,"195,390",0.31,"1,809,025",1.50,"7,307,829",1.44,"687,542",1.29,"217,495",1.92,"2,325,404",0.97,"1,996,318",2.44,"373,308",0.63,"1,818,287",1.35,"222,334",0.51
               Fire protection,"775,752",5.33,"96,372",4.34,"214,765",2.61,"534,753",0.18,"224,958",0.91,"936,565",4.29,"319,567",0.51,"3,649,927",2.20,"1,029,171",2.41,"56,234",7.80,"1,910,196",2.43,"515,321",4.00,"689,348",4.62,"820,273",2.61,"319,815",1.44,"494,267",3.85,"63,566",1.10,"692,730",2.25,"3,051,963",2.39,"282,078",4.67,"56,651",3.08,"1,256,710",1.26,"1,378,405",7.91,"116,489",2.20,"682,473",2.35,"83,671",9.87
               Correction,"912,165",0.79,"256,100",0.00,"471,714",0.64,"665,110",0.00,"198,230",0.00,"2,134,796",0.00,"757,336",0.01,"6,056,416",0.27,"1,821,960",0.40,"139,665",0.00,"1,856,303",0.90,"690,785",0.00,"1,132,607",0.00,"3,454,966",0.00,"221,516",0.00,"715,377",0.00,"177,293",0.00,"1,123,563",0.71,"5,576,316",1.16,"544,210",0.96,"152,885",0.00,"2,590,849",7.02,"1,643,703",0.26,"334,839",0.00,"1,510,474",0.97,"214,198",0.03
                    Capital outlay,"17,048",0.27,"14,845",0.00,"4,162",10.65,"19,869",0.00,"6,415",0.00,"29,793",0.00,"3,812",0.08,"123,777",0.55,"36,032",4.92,"4,702",0.00,"59,117",0.21,"11,577",0.03,"6,821",0.00,"38,941",0.00,"4,838",0.00,"20,523",0.00,"1,378",0.00,"30,091",16.75,"140,327",12.12,"44,578",0.00,"1,178",0.00,"61,082",13.82,"61,309",0.05,"17,240",0.00,"44,857",10.18,"1,833",0.00
               Protective inspection and regulation,"96,454",1.32,"35,170",0.29,"63,872",1.41,"156,442",0.00,"55,939",0.39,"412,079",1.02,"82,991",0.07,"864,793",0.42,"313,882",0.80,"34,492",0.17,"270,744",0.88,"138,559",0.39,"333,499",0.57,"364,943",1.36,"26,832",0.00,"127,474",0.82,"29,959",0.10,"135,243",1.04,"791,043",1.04,"73,787",1.18,"38,361",0.01,"286,543",0.59,"499,153",0.57,"72,966",0.03,"250,454",0.61,"37,709",0.21
     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Natural resources,"396,885",1.21,"259,669",1.42,"395,610",3.55,"303,931",1.31,"56,096",2.20,"544,237",0.42,"319,997",4.72,"635,868",2.04,"591,685",0.97,"291,548",0.89,"435,638",2.64,"318,802",0.39,"616,969",1.52,"758,308",0.94,"83,426",0.04,"240,548",0.11,"173,840",2.07,"354,310",0.87,"1,506,327",2.18,"252,316",2.04,"111,655",0.48,"266,364",1.42,"1,289,568",4.89,"237,934",0.22,"854,679",2.44,"196,464",1.43
                    Capital outlay,"44,140",4.59,"13,384",3.31,"60,820",15.17,"155,868",0.19,"3,937",1.73,"81,262",0.64,"59,016",23.29,"135,940",1.65,"78,009",3.23,"35,253",0.68,"52,242",16.91,"31,715",0.99,"32,750",4.18,"99,529",0.96,"20,586",0.00,"47,894",0.15,"5,751",8.34,"25,175",11.52,"362,819",2.98,"26,179",4.61,"5,830",1.11,"8,121",6.13,"287,954",15.26,"50,990",0.14,"81,941",15.54,"19,041",10.45
               Parks and recreation,"666,339",2.75,"102,404",0.67,"226,808",2.05,"709,567",0.10,"94,338",0.84,"762,503",2.70,"337,772",0.31,"2,872,656",0.93,"958,992",2.35,"267,663",15.31,"1,214,334",2.78,"451,055",2.31,"648,281",2.64,"923,488",2.14,"76,755",0.00,"574,124",5.58,"183,217",0.32,"676,087",4.20,"2,435,642",2.09,"451,829",2.59,"59,929",0.94,"1,062,607",1.11,"1,019,915",1.85,"175,084",1.34,"666,629",1.44,"160,457",4.07
                    Capital outlay,"109,507",4.61,"7,409",1.18,"60,092",5.58,"244,526",0.00,"4,894",0.01,"215,730",8.22,"62,159",0.19,"940,076",1.58,"207,448",8.95,"107,939",37.12,"264,262",5.56,"140,150",4.55,"123,518",5.54,"164,954",6.48,"3,320",0.00,"95,101",27.11,"61,096",0.11,"200,592",9.35,"670,185",3.50,"67,354",6.72,"6,125",0.44,"216,043",3.13,"251,658",4.03,"9,049",0.07,"170,722",3.69,"52,266",7.58
               Housing and community development,"640,899",1.82,"93,576",2.74,"216,279",12.55,"303,487",49.26,"204,163",0.05,"1,463,144",1.54,"154,120",1.13,"5,397,963",0.16,"1,496,675",1.87,"78,868",8.00,"2,031,243",3.35,"430,341",3.56,"647,025",3.07,"1,980,153",3.40,"249,608",2.82,"466,423",8.07,"95,123",4.35,"865,024",4.73,"1,993,988",3.84,"357,028",0.77,"147,957",1.19,"986,468",0.97,"1,352,035",2.87,"125,462",4.16,"334,947",3.18,"16,191",0.77
