,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
82,               Libraries,"11,570,428",1.4,"98,260",2.2,"52,626",0.92,"170,777",1.67,"104,302",4.68,"1,418,198",5.79,"281,788",16,"169,386",0.86,"42,722",0,"71,910",0,"577,639",3.24,"185,375",1.22,"32,723",0,"55,280",10.5,"716,512",5.27,"402,196",7.33,"138,381",1.49,"119,417",3.86,"150,629",13.76,"199,210",0.13,"44,005",2.05,"196,692",0,"305,911",1.83,"344,376",7.09,"233,116",1.6,"49,688",11.89,"234,664",9.26,"28,229",0.89,"66,267",2.27,"98,647",1.82,"52,122",2.18,"429,879",2.63,"39,089",0.81,"969,089",4.3,"241,546",2.98,"16,763",0.28,"488,422",20.92,"132,506",6.02,"217,349",2.11,"210,898",1.99,"37,643",0,"142,946",0.01,"30,091",0.69,"137,259",2.19,"553,585",2.31,"114,811",0.86,"22,408",1.95,"332,262",3.93,"416,934",3.22,"54,794",7.7,"309,221",2.02,"31,885",0.03
83,     Social services and income maintenance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,               Public welfare,"613,501,946",0.02,"8,146,149",0.16,"2,013,118",0,"10,111,236",0,"6,591,349",0.11,"102,369,041",0,"7,969,352",0.02,"3,751,582",0.02,"2,280,592",0,"3,563,573",0,"26,958,435",0.04,"11,737,517",0.25,"2,636,451",0,"2,549,274",0,"22,238,504",0.05,"11,589,394",0.09,"5,838,815",0.05,"3,855,879",0.11,"10,887,508",0.01,"8,477,729",0,"3,055,434",0.04,"12,342,448",0,"19,719,540",0.01,"16,378,693",0.3,"13,565,758",0.31,"5,847,018",0.13,"8,916,821",0.14,"1,517,966",0,"2,560,190",0.59,"3,361,207",0,"1,882,390",0.02,"16,306,123",0.01,"5,797,992",0,"60,349,815",0.12,"14,581,368",0.21,"1,441,878",0,"26,179,916",0.27,"6,675,200",0,"9,928,140",0.01,"26,742,091",0,"2,928,577",0,"7,623,285",0,"1,113,548",0.11,"10,848,714",0.13,"35,419,136",0.03,"3,582,549",0.02,"1,770,132",0.01,"10,882,799",0.3,"11,552,131",0,"4,636,156",0,"11,606,648",0.45,"822,785",0.04
85,                    Cash assistance payments,"25,358,795",0.12,"1,446,948",0,"175,812",0,"302,975",0,"11,237",0,"7,156,564",0,"148,720",0.01,"200,913",0.06,"40,917",0,"149,327",0,"222,301",0,"91,157",0,"40,673",0,"58,647",0,"211,682",0,"148,427",0,"230,623",0,"59,559",0,"209,350",0,"64,418",0.02,"65,210",0.19,"1,416,915",0,"521,423",0,"239,071",0,"639,466",1.59,"56,346",0,"119,907",0,0,0,"29,096",0.01,"53,074",0,"82,233",0.22,"692,415",0,"57,011",0,"2,673,867",0.6,"689,852",2.78,"66,197",0,"355,141",2.16,"126,714",0,"296,151",0,"1,388,331",0,"30,316",0,"333,974",0,"83,491",0,"587,121",0,"1,699,459",0,"592,322",0,"48,844",0,"386,867",1.91,"475,772",0,"336,851",0,"245,087",2.72,21,0
86,                    Vendor payments,"501,124,604",0.01,"6,044,133",0,"1,551,345",0,"7,244,783",0,"5,959,009",0,"79,673,180",0,"6,386,126",0.02,"2,490,129",0,"1,892,733",0,"2,700,696",0,"23,894,187",0,"10,393,576",0,"2,084,935",0,"1,990,997",0,"18,378,139",0,"10,333,714",0,"5,060,742",0.01,"3,226,548",0,"9,799,109",0,"7,625,504",0,"2,113,073",0,"9,723,675",0,"17,738,909",0,"13,457,679",0,"10,917,375",0.08,"5,321,776",0,"8,102,896",0,"1,365,212",0,"1,769,225",0,"2,664,595",0,"1,319,202",0.01,"11,536,398",0,"5,332,305",0,"48,882,596",0.05,"12,379,644",0,"1,159,420",0,"22,527,964",0.02,"5,524,426",0,"6,540,014",0,"20,911,307",0,"2,628,248",0,"6,606,111",0,"769,278",0,"9,269,922",0,"30,845,519",0.03,"2,588,962",0,"1,095,343",0,"8,434,555",0.05,"9,743,967",0,"3,756,165",0,"8,745,677",0,"623,581",0
87,                    Other public welfare,"87,018,547",0.16,"655,068",2.04,"285,961",0.03,"2,563,478",0.01,"621,103",1.12,"15,539,297",0,"1,434,506",0.03,"1,060,540",0.06,"346,942",0,"713,550",0,"2,841,947",0.34,"1,252,784",2.38,"510,843",0,"499,630",0,"3,648,683",0.31,"1,107,253",0.97,"547,450",0.53,"569,772",0.76,"879,049",0.08,"787,807",0,"877,151",0.13,"1,201,858",0,"1,459,208",0.09,"2,681,943",1.86,"2,008,917",2,"468,896",1.58,"694,018",1.84,"152,754",0,"761,869",1.97,"643,538",0,"480,955",0.04,"4,077,310",0.02,"408,676",0,"8,793,352",0.77,"1,511,872",1.6,"216,261",0,"3,296,811",2.12,"1,024,060",0.03,"3,091,975",0.02,"4,442,453",0,"270,013",0,"683,200",0.01,"260,779",0.49,"991,671",1.44,"2,874,158",0.2,"401,265",0.17,"625,945",0.03,"2,061,377",1.55,"1,332,392",0.04,"543,140",0.03,"2,615,884",1.99,"199,183",0.18
88,               Hospitals,"170,198,338",0.59,"5,338,472",0.5,"459,227",1.91,"951,024",0.03,"1,073,265",1.66,"25,665,180",0.85,"2,249,235",1.59,"1,381,031",0,"90,693",0,"277,154",0,"8,530,717",0.3,"4,788,883",1.1,"658,402",0,"687,022",0.18,"2,716,390",3.13,"4,902,700",1.92,"3,417,048",2.25,"2,573,365",2.54,"2,129,038",0,"2,910,416",0.07,"190,915",0.13,"569,320",0,"1,575,450",0,"4,356,241",3.58,"2,023,299",6.08,"3,651,126",0.52,"3,696,663",0.9,"142,754",0.65,"1,062,441",4.36,"902,014",0,"55,161",0,"2,331,119",0,"1,428,397",0.1,"14,613,814",0.56,"9,170,928",0.99,"52,334",0.03,"4,325,455",2.62,"1,127,726",1.2,"2,457,856",1.78,"3,670,888",0.02,"56,811",0,"6,028,911",0.38,"96,717",0.33,"3,279,388",2.54,"17,378,091",5.26,"1,564,776",3.83,"20,975",0.04,"4,738,290",0.01,"5,262,026",1.54,"427,631",0.02,"2,006,613",1.65,"1,134,946",0.86
89,                    Capital outlay,"8,781,849",0.34,"321,976",0.2,"45,289",0.02,"20,482",1.03,"16,967",23.8,"1,351,876",0.63,"68,813",2.22,"8,583",0,488,0,"24,457",0,"385,697",0.26,"277,796",0.69,"50,770",0,"45,101",0,"89,402",5.01,"276,604",1.73,"332,236",3.17,"72,839",4.26,"114,836",0.02,"257,123",0.01,"1,063",0.95,"10,906",0,"93,609",0,"42,817",12.89,"63,036",4.18,"188,109",3.03,"209,351",0.23,"2,276",0,"77,485",12.4,"21,836",0,"2,150",0,"5,578",0,"38,762",0.09,"837,501",0,"572,699",0.93,721,0,"349,336",2.17,"35,343",8.76,"111,900",1.5,"107,365",0.08,"1,639",0,"259,187",1.66,"3,890",0,"171,566",1.73,"1,145,210",1.13,"49,309",0,251,0,"239,533",0,"232,651",5.78,"8,144",0.02,"55,476",0,"81,815",0.08
90,               Health,"91,809,580",0.37,"829,530",2.94,"269,346",0.28,"907,483",0.34,"325,156",0.74,"19,655,706",0.91,"741,227",4.93,"906,764",0.12,"463,110",0,"472,754",0,"5,088,956",0.6,"2,267,098",1.95,"524,069",0,"340,023",0.07,"2,151,908",0.81,"775,995",0.77,"411,902",6.1,"353,077",3.5,"853,977",2.3,"644,595",0.14,"241,823",0.87,"1,692,618",0.01,"1,178,676",0.29,"4,186,910",4.1,"1,095,091",3.48,"392,713",0.43,"2,059,978",0.17,"349,826",0.05,"297,452",0.31,"373,885",0.02,"121,827",0.58,"3,277,020",0.17,"768,296",0.15,"6,776,522",1.09,"3,847,576",0.59,"179,009",1.56,"3,512,656",4.51,"1,006,928",0.47,"1,277,998",0.09,"4,816,267",0.07,"223,259",0,"1,206,479",0,"178,151",0.87,"938,093",1.69,"5,005,177",1.67,"529,239",0.76,"361,044",0.15,"2,170,760",3.4,"3,308,278",0.82,"281,185",0.42,"1,772,697",2.42,"399,471",0.47
91,               Employment security administration,"4,223,228",0,"97,330",0,"40,572",0,0,0,"90,342",0,"413,393",0,"67,647",0,"19,225",0,"17,493",0,"41,818",0,"323,491",0,"33,939",0,"6,092",0,"37,697",0,"51,443",0,"97,478",0,"48,940",0,"34,717",0,"128,711",0,"134,971",0,"65,680",0,"58,483",0,"215,867",0,"107,954",0,"51,261",0,"114,054",0,"41,376",0,"41,558",0,"41,038",0,"67,504",0,"32,391",0,"195,939",0,"9,957",0,"235,694",0,"60,381",0,"17,912",0,"129,912",0,"83,322",0,"56,772",0,"98,469",0,"35,443",0,"55,846",0,"21,458",0,"64,765",0,"193,613",0,"10,892",0,"2,578",0,"82,881",0,"183,710",0,"23,067",0,"111,465",0,"26,687",0
92,               Veterans' services,"1,044,996",0,"6,212",0,0,0,"15,863",0,"1,611",0,"15,473",0,"5,182",0,"30,750",0,0,0,0,0,"8,745",0,"8,486",0,"1,024",0,0,0,"25,124",0,"4,384",0,"1,413",0,"12,054",0,"58,253",0,"5,343",0,124,0,"2,033",0,"82,815",0,0,0,"16,348",0,"3,480",0,"3,563",0,"2,199",0,"1,110",0,499,0,964,0,"15,575",0,"3,343",0,"11,467",0,"4,821",0,"3,735",0,"34,771",0,"12,649",0,"8,647",0,"7,847",0,0,0,0,0,"1,386",0,"5,411",0,"558,242",0,"2,069",0,"1,119",0,"10,983",0,"12,783",0,"9,811",0,"27,279",0,6,0
93,     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,               Highways,"171,083,749",0.23,"2,387,575",1.4,"1,593,636",0.18,"2,235,299",1.07,"1,711,893",0.66,"16,562,840",1.45,"2,941,966",1.62,"2,355,983",0.27,"468,036",0,"469,871",0,"10,465,060",0.42,"3,187,866",1.23,"697,989",0,"883,307",1.29,"8,865,116",1.46,"2,734,233",0.71,"2,657,345",1.34,"1,908,151",1.65,"2,917,368",0.29,"2,284,287",0.4,"890,980",1.12,"3,434,257",0.32,"3,957,367",0.35,"3,649,212",2.54,"4,403,912",1.05,"1,614,073",0.88,"2,405,557",1.34,"902,607",0.13,"1,450,008",2.23,"1,416,118",0.03,"722,872",0.44,"5,065,515",0.75,"1,077,678",1.26,"11,017,892",0.66,"4,139,236",0.91,"1,690,004",0.43,"5,865,912",0.85,"2,597,019",0.45,"2,058,285",0.75,"9,760,375",1.64,"443,967",0,"1,579,962",0.66,"923,556",0.51,"2,211,620",1.05,"12,622,191",0.7,"1,584,278",0.89,"659,200",1.34,"5,045,723",0.31,"4,179,683",1.26,"1,100,141",0.25,"4,473,794",1.45,"812,934",0.14
95,                    Capital outlay,"93,810,195",0.3,"1,193,804",0.95,"815,048",0.04,"1,154,277",1.46,"882,772",0.77,"6,235,429",3.54,"1,364,837",2.79,"1,132,978",0.34,"214,533",0,"305,014",0,"7,091,110",0.47,"1,898,033",1.5,"318,585",0,"489,473",2.13,"5,485,510",0.71,"1,661,797",0.56,"1,508,303",2.16,"994,652",0.77,"1,973,946",0.21,"1,370,627",0.54,"327,425",2.39,"1,710,976",0.23,"1,864,889",0.54,"1,408,539",2.63,"2,507,207",1.15,"856,563",1.06,"1,134,658",1.97,"390,769",0.04,"738,193",3.97,"752,604",0.01,"275,413",0.33,"3,441,752",0.98,"883,952",1.53,"6,178,821",0.92,"2,542,342",0.67,"1,087,759",0.45,"3,394,323",0.9,"1,682,342",0.56,"907,800",1.55,"5,963,183",0.69,"260,549",0,"828,232",1.15,"487,119",0.4,"1,165,501",1.52,"7,806,701",0.88,"853,845",1.52,"281,317",1.33,"2,638,694",0.4,"2,293,170",2.17,"514,452",0.02,"2,083,443",2.7,"456,934",0.16
96,               Air transportation (airports),"22,675,172",0.36,"121,337",4.29,"328,665",0.03,"482,942",1.03,"110,065",3.83,"3,197,818",0.65,"766,682",0.33,"71,900",3.73,"7,108",0,0,0,"2,323,813",1.88,"674,123",0.43,"569,120",0,"56,948",1.1,"1,229,856",3.44,"240,942",1.82,"99,785",2.66,"160,160",0.42,"215,255",0.4,"222,873",0.33,"45,891",1.24,"326,111",0,"623,833",0,"484,520",1.97,"345,510",0.57,"98,577",16.49,"301,274",1.44,"65,697",0.55,"118,637",3.4,"368,354",0,"37,630",0.04,"26,075",5.22,"69,117",0.32,"2,244,848",0.33,"432,938",0.89,"54,078",3.63,"336,823",3.41,"180,816",4.39,"253,334",1.39,"555,867",3.68,"93,314",0,"226,107",1.6,"42,114",2.36,"407,897",3.52,"2,076,797",0.9,"241,306",2.38,"37,220",0,"675,848",2.56,"513,316",4.25,"62,186",3.72,"351,668",0.81,"98,077",10.43
97,               Parking facilities,"1,983,970",1.56,"19,022",0,"1,482",6.2,"21,153",0.51,"4,042",0.08,"485,649",5.9,"44,108",6.39,"48,556",0.01,"9,219",0,"27,069",0,"167,793",4.29,"10,550",0.48,"4,747",0,56,0,"60,023",3.11,"8,355",1.29,"19,780",0.01,"5,800",0.01,"28,847",0,"2,797",0,"7,982",0.53,"50,160",0.66,"19,183",2.27,"56,435",0.92,"63,544",0.01,"1,229",0,"21,556",0.33,"5,807",0,"7,897",0,"7,433",0,"9,961",0,"78,038",4.26,"9,041",0,"106,896",0.99,"32,370",2.96,"4,895",0.38,"55,012",1.66,"20,986",0.39,"15,928",4.31,"215,269",3.57,"1,410",0,"26,588",0.82,"3,050",0,"11,395",0.67,"29,598",0.09,69,0,"5,894",0.05,"61,227",0.96,"19,958",0.45,"7,929",0.23,"56,507",1.13,"1,675",0
98,               Sea and inland port facilities,"6,311,613",1.5,"129,975",0,"169,256",2.04,0,0,"5,165",0.64,"1,895,948",0.79,0,0,"2,460",0,"43,626",0,0,0,"598,501",2.13,"308,052",0,"79,394",0,"1,324",85.83,"6,960",7.71,"18,630",0.42,8,9.59,0,0,"28,882",61.87,"316,185",0.15,"7,734",11.27,"133,517",0,"97,671",1.24,"5,800",42.32,"60,531",0.3,"66,510",3.46,"3,296",5.39,"1,277",78.94,0,0,0,0,293,0,"76,756",0.18,0,0,"365,707",0.02,"33,529",0.58,0,0,"23,990",13.74,"9,882",1.4,"103,745",1.41,"72,639",3.06,"2,343",0,"182,170",0.03,0,0,"1,252",18.55,"459,430",0.4,0,0,0,0,"427,551",0.02,"551,061",16.42,"13,932",0,"6,631",3.77,0,0
99,     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,               Police protection,"104,806,925",0.36,"1,239,236",2.16,"395,059",0.48,"2,113,256",1.38,"677,496",1.43,"16,535,225",1.6,"1,779,074",1.95,"1,172,595",0.3,"360,615",0,"584,667",0,"7,529,788",1.84,"2,547,838",1.88,"456,058",0,"404,541",0.66,"5,009,667",2.06,"1,201,353",1.44,"745,119",1.08,"786,452",1.42,"771,509",1.01,"1,528,301",0.73,"265,292",1.8,"2,574,835",0.62,"2,426,320",0.74,"2,434,339",1.48,"1,840,392",0.91,"729,351",1.88,"1,718,313",1.29,"320,048",0.38,"464,920",0.93,"1,123,779",0,"400,873",0.69,"3,398,018",2.18,"677,223",0.37,"9,569,397",0.55,"2,994,177",1.47,"191,154",0.24,"3,419,005",1.58,"986,926",2.34,"1,216,039",1.22,"3,696,527",1.35,"418,785",0,"1,150,431",1.11,"195,390",0.31,"1,809,025",1.5,"7,307,829",1.44,"687,542",1.29,"217,495",1.92,"2,325,404",0.97,"1,996,318",2.44,"373,308",0.63,"1,818,287",1.35,"222,334",0.51
101,               Fire protection,"45,966,782",0.63,"457,054",2.43,"239,799",0.44,"1,080,485",3.92,"296,426",2.79,"7,501,465",2.38,"884,736",6.93,"589,368",1.1,"35,532",0,"243,139",0,"3,738,753",1.98,"1,101,080",2.38,"221,498",0,"174,772",2.82,"2,570,339",2.59,"841,538",3.76,"254,433",2.41,"328,487",0.93,"340,262",3.1,"684,307",0.54,"153,659",2.96,"1,102,167",0.08,"1,241,040",0.86,"917,613",2.47,"452,116",5.27,"264,694",3.65,"775,752",5.33,"96,372",4.34,"214,765",2.61,"534,753",0.18,"224,958",0.91,"936,565",4.29,"319,567",0.51,"3,649,927",2.2,"1,029,171",2.41,"56,234",7.8,"1,910,196",2.43,"515,321",4,"689,348",4.62,"820,273",2.61,"319,815",1.44,"494,267",3.85,"63,566",1.1,"692,730",2.25,"3,051,963",2.39,"282,078",4.67,"56,651",3.08,"1,256,710",1.26,"1,378,405",7.91,"116,489",2.2,"682,473",2.35,"83,671",9.87
102,               Correction,"76,641,224",0.26,"741,542",2.06,"348,405",0.19,"1,685,612",0,"527,918",1.1,"15,275,175",0,"1,289,610",0,"697,957",0,"304,986",0,"142,372",0,"4,331,700",0,"2,049,030",1.21,"212,722",0,"546,691",0,"2,297,323",0.31,"1,026,456",0.84,"445,125",1.27,"513,498",2,"861,661",1.25,"1,087,963",0,"207,963",0,"1,875,742",0,"913,575",0,"2,496,235",1.1,"910,930",1.32,"497,657",1.22,"912,165",0.79,"256,100",0,"471,714",0.64,"665,110",0,"198,230",0,"2,134,796",0,"757,336",0.01,"6,056,416",0.27,"1,821,960",0.4,"139,665",0,"1,856,303",0.9,"690,785",0,"1,132,607",0,"3,454,966",0,"221,516",0,"715,377",0,"177,293",0,"1,123,563",0.71,"5,576,316",1.16,"544,210",0.96,"152,885",0,"2,590,849",7.02,"1,643,703",0.26,"334,839",0,"1,510,474",0.97,"214,198",0.03
103,                    Capital outlay,"2,497,820",1.17,"36,168",3.86,"16,937",0,"28,265",0,"29,806",6.54,"1,008,166",0,"20,234",0,"4,091",0,"2,441",0,"7,134",0,"60,636",0,"134,450",2.01,"1,977",0,"12,722",0,"39,490",7.59,"30,597",5.73,"13,870",2.44,"13,620",8.21,"10,448",6.89,"67,179",0.01,"6,905",0,"37,711",0,"35,458",0,"33,512",60.52,"9,401",3.96,"30,457",8.46,"17,048",0.27,"14,845",0,"4,162",10.65,"19,869",0,"6,415",0,"29,793",0,"3,812",0.08,"123,777",0.55,"36,032",4.92,"4,702",0,"59,117",0.21,"11,577",0.03,"6,821",0,"38,941",0,"4,838",0,"20,523",0,"1,378",0,"30,091",16.75,"140,327",12.12,"44,578",0,"1,178",0,"61,082",13.82,"61,309",0.05,"17,240",0,"44,857",10.18,"1,833",0
104,               Protective inspection and regulation,"13,300,010",0.62,"135,355",3.48,"17,389",0.47,"189,452",0.97,"89,642",0.49,"3,735,717",2.1,"123,415",1.75,"101,409",0.35,"64,540",0,"96,871",0,"704,987",2.56,"180,284",2.05,"48,986",0,"58,271",0.87,"324,858",1.3,"150,547",1.42,"89,009",0.96,"89,443",0.23,"93,810",0.35,"124,733",0.16,"47,251",1.05,"296,940",0.39,"278,152",0.9,"421,924",0.96,"175,280",0.94,"68,362",1.3,"96,454",1.32,"35,170",0.29,"63,872",1.41,"156,442",0,"55,939",0.39,"412,079",1.02,"82,991",0.07,"864,793",0.42,"313,882",0.8,"34,492",0.17,"270,744",0.88,"138,559",0.39,"333,499",0.57,"364,943",1.36,"26,832",0,"127,474",0.82,"29,959",0.1,"135,243",1.04,"791,043",1.04,"73,787",1.18,"38,361",0.01,"286,543",0.59,"499,153",0.57,"72,966",0.03,"250,454",0.61,"37,709",0.21
105,     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,               Natural resources,"28,560,373",0.49,"263,227",0.71,"383,882",0.19,"476,500",6.59,"341,151",3.94,"4,829,149",1.88,"472,491",1.94,"249,639",0.16,"80,441",0.17,"60,291",0,"3,065,706",1.79,"486,746",0.43,"141,184",0,"292,313",1.87,"680,868",1.71,"401,345",0.61,"429,441",1.21,"267,595",1.55,"432,687",2.22,"1,071,316",0.17,"132,034",1.75,"544,256",0.29,"311,171",0.2,"417,650",1.66,"890,907",1.5,"345,709",0.72,"396,885",1.21,"259,669",1.42,"395,610",3.55,"303,931",1.31,"56,096",2.2,"544,237",0.42,"319,997",4.72,"635,868",2.04,"591,685",0.97,"291,548",0.89,"435,638",2.64,"318,802",0.39,"616,969",1.52,"758,308",0.94,"83,426",0.04,"240,548",0.11,"173,840",2.07,"354,310",0.87,"1,506,327",2.18,"252,316",2.04,"111,655",0.48,"266,364",1.42,"1,289,568",4.89,"237,934",0.22,"854,679",2.44,"196,464",1.43
107,                    Capital outlay,"4,696,943",1.27,"45,353",0.07,"5,671",5.46,"64,907",1.57,"22,242",30.8,"846,084",2.61,"61,813",4.81,"58,467",0.27,"19,435",0,"1,655",0,"479,666",3.57,"92,215",0.18,"37,908",0,"26,945",10.48,"103,263",4.91,"48,323",2.47,"100,901",2.88,"16,177",1.81,"30,059",0.23,"469,225",0.38,"4,387",48.51,"51,302",1.68,"71,284",0.07,"70,738",8.31,"104,695",4.14,"38,082",1.51,"44,140",4.59,"13,384",3.31,"60,820",15.17,"155,868",0.19,"3,937",1.73,"81,262",0.64,"59,016",23.29,"135,940",1.65,"78,009",3.23,"35,253",0.68,"52,242",16.91,"31,715",0.99,"32,750",4.18,"99,529",0.96,"20,586",0,"47,894",0.15,"5,751",8.34,"25,175",11.52,"362,819",2.98,"26,179",4.61,"5,830",1.11,"8,121",6.13,"287,954",15.26,"50,990",0.14,"81,941",15.54,"19,041",10.45
108,               Parks and recreation,"39,678,352",0.98,"417,911",3.22,"134,566",1.34,"644,373",1.41,"259,873",2.32,"5,832,536",5.08,"1,171,845",5.73,"347,591",0.61,"70,836",0,"220,494",0,"2,829,911",2.83,"810,354",2.93,"256,766",0,"143,916",1.2,"2,600,023",7.44,"468,558",1.24,"326,940",2.43,"319,817",0.81,"335,393",1.07,"759,488",0.86,"91,620",2.13,"1,131,111",0.58,"477,492",7.8,"952,794",1.39,"1,059,057",1.44,"236,612",1.7,"666,339",2.75,"102,404",0.67,"226,808",2.05,"709,567",0.1,"94,338",0.84,"762,503",2.7,"337,772",0.31,"2,872,656",0.93,"958,992",2.35,"267,663",15.31,"1,214,334",2.78,"451,055",2.31,"648,281",2.64,"923,488",2.14,"76,755",0,"574,124",5.58,"183,217",0.32,"676,087",4.2,"2,435,642",2.09,"451,829",2.59,"59,929",0.94,"1,062,607",1.11,"1,019,915",1.85,"175,084",1.34,"666,629",1.44,"160,457",4.07
109,                    Capital outlay,"8,341,955",1.4,"42,181",7.61,"38,895",3.02,"65,972",4.29,"63,568",3.85,"1,035,032",6.47,"205,916",11.18,"108,286",1.36,"15,664",0,"61,750",0,"452,689",6.03,"164,580",11.01,"54,870",0,"19,027",3.47,"426,084",7.65,"67,176",5.04,"45,541",12.75,"58,627",0.36,"33,631",3.72,"195,916",2.19,"14,449",3.14,"96,642",1.99,"122,089",30.37,"275,293",2.91,"191,991",7.19,"29,911",5.61,"109,507",4.61,"7,409",1.18,"60,092",5.58,"244,526",0,"4,894",0.01,"215,730",8.22,"62,159",0.19,"940,076",1.58,"207,448",8.95,"107,939",37.12,"264,262",5.56,"140,150",4.55,"123,518",5.54,"164,954",6.48,"3,320",0,"95,101",27.11,"61,096",0.11,"200,592",9.35,"670,185",3.5,"67,354",6.72,"6,125",0.44,"216,043",3.13,"251,658",4.03,"9,049",0.07,"170,722",3.69,"52,266",7.58
110,               Housing and community development,"49,754,263",0.9,"505,630",7.48,"340,108",0.08,"516,628",0.95,"190,540",2.85,"8,282,602",4.1,"817,235",8.83,"801,790",3.71,"144,647",0,"604,553",0,"2,431,905",2.53,"1,216,476",3.12,"244,160",0,"134,512",1.25,"2,178,731",4.98,"788,814",1.99,"250,453",2.52,"274,987",8.23,"419,853",1.54,"785,203",0.6,"286,341",2.21,"1,428,672",0.17,"2,611,007",3.22,"1,159,700",1.46,"939,749",8.1,"271,777",3.96,"640,899",1.82,"93,576",2.74,"216,279",12.55,"303,487",49.26,"204,163",0.05,"1,463,144",1.54,"154,120",1.13,"5,397,963",0.16,"1,496,675",1.87,"78,868",8,"2,031,243",3.35,"430,341",3.56,"647,025",3.07,"1,980,153",3.4,"249,608",2.82,"466,423",8.07,"95,123",4.35,"865,024",4.73,"1,993,988",3.84,"357,028",0.77,"147,957",1.19,"986,468",0.97,"1,352,035",2.87,"125,462",4.16,"334,947",3.18,"16,191",0.77
111,               Sewerage,"51,888,368",0.64,"332,188",4.76,"112,862",0.96,"777,430",3.82,"322,334",2.35,"6,927,309",3.28,"1,029,463",4.65,"613,432",0.73,"183,908",0,"608,664",0,"3,276,528",3.33,"1,251,027",2.09,"396,252",0,"187,270",4.03,"1,997,648",3.93,"889,049",3.24,"536,909",5.6,"386,567",0.59,"555,910",2.43,"721,660",1.3,"164,419",5,"1,304,639",0.86,"1,107,906",1.45,"2,185,809",2.79,"874,525",3.56,"352,750",2.78,"1,010,974",1.69,"132,354",4.73,"341,693",1.71,"507,197",0.33,"199,085",1.19,"1,544,684",2.89,"223,464",1.34,"3,133,115",1.63,"936,022",3.79,"102,815",1.56,"2,214,873",1.5,"337,704",3.19,"797,378",3.3,"2,395,319",4.63,"176,087",0.01,"575,577",2.81,"109,431",2.45,"867,626",3.65,"3,968,681",1.69,"296,922",5.26,"79,337",1.98,"1,588,634",1.16,"1,910,398",3.01,"311,264",1.91,"957,897",1.88,"73,379",5.52
112,                    Capital outlay,"17,847,212",1.18,"64,548",9.02,"35,090",0.21,"315,696",9.01,"126,489",4.28,"2,031,716",6.49,"432,198",6.5,"278,971",0.48,"59,367",0,"442,063",0,"787,762",7.67,"334,188",3.49,"219,779",0,"55,552",6.11,"771,449",7.62,"283,669",6.89,"194,481",14.91,"113,098",0.57,"214,915",3.83,"361,512",0.85,"39,570",6.59,"238,166",0,"377,121",1.54,"547,864",7.7,"143,373",10.56,"194,258",2.93,"436,971",2.15,"67,593",8.67,"206,908",2.39,"236,527",0.05,"80,410",0.71,"383,763",7.31,"79,756",3.39,"1,696,293",2.51,"251,321",9.49,"58,087",2.57,"783,324",2.77,"118,844",5.66,"310,689",7.27,"521,634",13.38,"47,005",0,"189,031",5.83,"43,145",1.66,"352,132",8.09,"1,555,853",3.72,"43,497",14.97,"19,341",1.37,"628,541",0.98,"789,772",3.7,"106,019",4.02,"152,673",7.77,"25,188",11.72
